Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
5-HT1A,FBgn0004168,NA,,,,FBgn0004168,5-HT1A
5-HT1B,FBgn0263116,NA,,,,FBgn0263116,5-HT1B
5-HT2A,FBgn0087012,NA,,,,FBgn0087012,5-HT2A
5-HT2B,FBgn0261929,NA,,,,FBgn0261929,5-HT2B
5-HT7,FBgn0004573,NA,,,,FBgn0004573,5-HT7
AdoR,FBgn0039747,NA,,,,FBgn0039747,AdoR
AkhR,FBgn0025595,NA,,,,FBgn0025595,AkhR
AMPKalpha,FBgn0023169,NA,,,,FBgn0023169,AMPKalpha
AstA-R1,FBgn0266429,NA,,,,FBgn0266429,AstA-R1
AstA-R2,FBgn0039595,NA,,,,FBgn0039595,AstA-R2
AstC-R1,FBgn0036790,NA,,,,FBgn0036790,AstC-R1
AstC-R2,FBgn0036789,NA,,,,FBgn0036789,AstC-R2
babo,FBgn0011300,NA,,,,FBgn0011300,babo
boss,FBgn0000206,NA,,,,FBgn0000206,boss
CapaR,FBgn0037100,NA,,,,FBgn0037100,CapaR
CCAP-R,FBgn0039396,NA,,,,FBgn0039396,CCAP-R
CCHa1-R,FBgn0050106,NA,,,,FBgn0050106,CCHa1-R
CCHa2-R,FBgn0033058,NA,,,,FBgn0033058,CCHa2-R
CCKLR-17D1,FBgn0259231,NA,,,,FBgn0259231,CCKLR-17D1
CCKLR-17D3,FBgn0030954,NA,,,,FBgn0030954,CCKLR-17D3
CG11318,FBgn0039818,NA,,,,FBgn0039818,CG11318
CG12290,FBgn0039419,NA,,,,FBgn0039419,CG12290
CG12796,FBgn0029909,NA,,,,FBgn0029909,mAChR-C
CG13229,FBgn0033579,NA,,,,FBgn0033579,CG13229
CG1339,FBgn0033202,NA,,,,FBgn0033202,CG1339
CG13575,FBgn0034996,NA,,,,FBgn0034996,CG13575
CG13579,FBgn0035010,NA,,,,FBgn0035010,CG13579
CG13995,FBgn0031770,NA,,,,FBgn0031770,CG13995
CG14420,FBgn0029643,NA,,,,FBgn0029643,CG14420
CG15556,FBgn0039821,NA,,,,FBgn0039821,CG15556
CG15614,FBgn0034168,NA,,,,FBgn0034168,CG15614
CG15744,FBgn0030466,NA,,,,FBgn0030466,CG15744
CG18208,FBgn0038653,NA,,,,FBgn0038653,Octalpha2R
CG2061,FBgn0027498,NA,,,,FBgn0027498,CG2061
CG30340,FBgn0050340,NA,,,,FBgn0050340,CG30340
CG31183,FBgn0051183,NA,,,,FBgn0051183,CG31183
CG31750,FBgn0046888,NA,,,,FBgn0046888,CG31750
CG31760,FBgn0051760,NA,,,,FBgn0051760,CG31760
CG3216,FBgn0034568,NA,,,,FBgn0034568,CG3216
CG32395,FBgn0041232,NA,,,,FBgn0041232,CG32395
CG32447,FBgn0052447,NA,,,,FBgn0052447,CG32447
CG32547,FBgn0052547,NA,,,,FBgn0052547,CG32547
CG33639,FBgn0053639,NA,,,,FBgn0053639,CG33639
CG34411,FBgn0085440,NA,,,,FBgn0085440,Lgr4
CG4168,FBgn0028888,NA,,,,FBgn0028888,CG4168
CG4313,FBgn0025632,NA,,,,FBgn0025632,CG4313
CG43795,FBgn0264339,NA,,,,FBgn0264339,CG43795
CG44153,FBgn0265002,NA,,,,FBgn0265002,CG44153
CG7497,FBgn0036742,NA,,,,FBgn0036742,CG7497
CG9304,FBgn0034674,NA,,,,FBgn0034674,CG9304
Cirl,FBgn0033313,NA,,,,FBgn0033313,Cirl
CNMaR,FBgn0053696,NA,,,,FBgn0053696,CNMaR
cry,FBgn0025680,NA,,,,FBgn0025680,cry
CrzR,FBgn0036278,NA,,,,FBgn0036278,CrzR
Dh31-R,FBgn0052843,NA,,,,FBgn0052843,Dh31-R
Dh44-R1,FBgn0033932,NA,,,,FBgn0033932,Dh44-R1
Dh44-R2,FBgn0033744,NA,,,,FBgn0033744,Dh44-R2
Dop1R1,FBgn0011582,NA,,,,FBgn0011582,Dop1R1
Dop1R2,FBgn0266137,NA,,,,FBgn0266137,Dop1R2
Dop2R,FBgn0053517,NA,,,,FBgn0053517,Dop2R
DopEcR,FBgn0035538,NA,,,,FBgn0035538,DopEcR
ETHR,FBgn0038874,NA,,,,FBgn0038874,ETHR
FMRFaR,FBgn0035385,NA,,,,FBgn0035385,FMRFaR
fz,FBgn0001085,NA,,,,FBgn0001085,fz
fz2,FBgn0016797,NA,,,,FBgn0016797,fz2
fz3,FBgn0027343,NA,,,,FBgn0027343,fz3
fz4,FBgn0027342,NA,,,,FBgn0027342,fz4
GABA-B-R1,FBgn0260446,NA,,,,FBgn0260446,GABA-B-R1
GABA-B-R2,FBgn0027575,NA,,,,FBgn0027575,GABA-B-R2
GABA-B-R3,FBgn0031275,NA,,,,FBgn0031275,GABA-B-R3
GPHR,FBgn0033995,NA,,,,FBgn0033995,GPHR
Gprk1,FBgn0260798,NA,,,,FBgn0260798,Gprk1
Gprk2,FBgn0261988,NA,,,,FBgn0261988,Gprk2
Gr10a,FBgn0045502,NA,,,,FBgn0045502,Gr10a
Gr10b,FBgn0030297,NA,,,,FBgn0030297,Gr10b
Gr21a,FBgn0041250,NA,,,,FBgn0041250,Gr21a
