Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
Aats-ala,FBgn0027094,HuDis670,,,,FBgn0027094,AlaRS
Aats-gly,FBgn0027088,HuDis670,,,,FBgn0027088,GlyRS
Aats-his,FBgn0027087,HuDis670,,,,FBgn0027087,HisRS
Aats-lys,FBgn0027084,HuDis670,,,,FBgn0027084,LysRS
Aats-tyr,FBgn0027080,HuDis670,,,,FBgn0027080,TyrRS
Aats-tyr-m,FBgn0035064,HuDis670,,,,FBgn0035064,TyrRS-m
aay,FBgn0023129,HuDis670,,,,FBgn0023129,aay
ABCB7,FBgn0035244,HuDis670,,,,FBgn0035244,ABCB7
ACC,FBgn0033246,HuDis670,,,,FBgn0033246,ACC
Acsl,FBgn0263120,HuDis670,,,,FBgn0263120,Acsl
Actn,FBgn0000667,HuDis670,,,,FBgn0000667,Actn
AdenoK,FBgn0036337,HuDis670,,,,FBgn0036337,Adk2
Adk1,FBgn0022709,HuDis670,,,,FBgn0022709,Ak1
Adk2,FBgn0022708,HuDis670,,,,FBgn0283494,Ak2
AGBE,FBgn0053138,HuDis670,,,,FBgn0053138,AGBE
Ahcy13,FBgn0014455,HuDis670,,,,FBgn0014455,Ahcy
AIF,FBgn0031392,HuDis670,,,,FBgn0031392,AIF
AkhR,FBgn0025595,HuDis670,,,,FBgn0025595,AkhR
Alas,FBgn0020764,HuDis670,,,,FBgn0020764,Alas
Ald,FBgn0000064,HuDis670,,,,FBgn0000064,Ald1
Aldh,FBgn0012036,HuDis670,,,,FBgn0012036,Aldh
Aldh-III,FBgn0010548,HuDis670,,,,FBgn0010548,Aldh-III
Alg10,FBgn0052076,HuDis670,,,,FBgn0052076,Alg10
alpha-Spec,FBgn0250789,HuDis670,,,,FBgn0250789,alpha-Spec
Alr,FBgn0031068,HuDis670,,,,FBgn0031068,Alr
AP-1sigma,FBgn0039132,HuDis670,,,,FBgn0039132,AP-1sigma
Appl,FBgn0000108,HuDis670,,,,FBgn0000108,Appl
Aprt,FBgn0000109,HuDis670,,,,FBgn0000109,Aprt
aralar1,FBgn0028646,HuDis670,,,,FBgn0028646,aralar1
Arc42,FBgn0038742,HuDis670,,,,FBgn0038742,Arc42
arg,FBgn0023535,HuDis670,,,,FBgn0023535,arg
Arl6,FBgn0034446,HuDis670,,,,FBgn0034446,Arl6
arm,FBgn0000117,HuDis670,,,,FBgn0000117,arm
arr,FBgn0000119,HuDis670,,,,FBgn0000119,arr
Atg16,FBgn0039705,HuDis670,,,,FBgn0039705,Atg16
Atg17,FBgn0037363,HuDis670,,,,FBgn0037363,Atg17
Atpalpha,FBgn0002921,HuDis670,,,,FBgn0002921,Atpalpha
Atx2,FBgn0041188,HuDis670,,,,FBgn0041188,Atx2
B9d1,FBgn0038342,HuDis670,,,,FBgn0038342,B9d1
babo,FBgn0011300,HuDis670,,,,FBgn0011300,babo
baf,FBgn0031977,HuDis670,,,,FBgn0031977,baf
ball,FBgn0027889,HuDis670,,,,FBgn0027889,ball
BBS4,FBgn0033578,HuDis670,,,,FBgn0033578,BBS4
BBS8,FBgn0031255,HuDis670,,,,FBgn0031255,BBS8
beta-Man,FBgn0037215,HuDis670,,,,FBgn0037215,beta-Man
beta4GalT7,FBgn0039258,HuDis670,,,,FBgn0039258,beta4GalT7
Bgb,FBgn0013753,HuDis670,,,,FBgn0013753,Bgb
