Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
Abl,FBgn0000017,Protein Kinase,,,,FBgn0000017,Abl
Ack,FBgn0028484,Protein Kinase,,,,FBgn0028484,Ack
AdenoK,FBgn0036337,Non-protein Kinase,,,,FBgn0036337,Adk2
Adk1,FBgn0022709,Non-protein Kinase,,,,FBgn0022709,Ak1
Adk2,FBgn0022708,Non-protein Kinase,,,,FBgn0283494,Ak2
Adk3,FBgn0042094,Non-protein Kinase,,,,FBgn0042094,Ak3
Ady43A,FBgn0026602,Non-protein Kinase,,,,FBgn0026602,Adk3
Ak6,FBgn0033754,Non-protein Kinase,,,,FBgn0033754,Ak6
Akt1,FBgn0010379,Protein Kinase,,,,FBgn0010379,Akt1
alc,FBgn0260972,Protein Kinase,,,,FBgn0260972,alc
Alk,FBgn0040505,Protein Kinase,,,,FBgn0040505,Alk
AMPKalpha,FBgn0023169,Protein Kinase,,,,FBgn0023169,AMPKalpha
aPKC,FBgn0261854,Protein Kinase,,,,FBgn0261854,aPKC
Argk,FBgn0000116,Non-protein Kinase,,,,FBgn0000116,Argk
Asator,FBgn0039908,Protein Kinase,,,,FBgn0039908,Asator
asp,FBgn0000140,Protein Kinase,,,,FBgn0000140,asp
Atg1,FBgn0260945,Protein Kinase,,,,FBgn0260945,Atg1
aurA,FBgn0000147,Protein Kinase,,,,FBgn0000147,aurA
aurB,FBgn0024227,Protein Kinase,,,,FBgn0024227,aurB
aux,FBgn0037218,Protein Kinase,,,,FBgn0037218,aux
awd,FBgn0000150,Non-protein Kinase,,,,FBgn0000150,awd
babo,FBgn0011300,Protein Kinase,,,,FBgn0011300,babo
ball,FBgn0027889,Protein Kinase,,,,FBgn0027889,ball
bon,FBgn0023097,Protein Kinase,,,,FBgn0023097,bon
bsk,FBgn0000229,Protein Kinase,,,,FBgn0000229,bsk
bt,FBgn0005666,Protein Kinase,,,,FBgn0005666,bt
Btk29A,FBgn0003502,Protein Kinase,,,,FBgn0003502,Btk29A
btl,FBgn0005592,Protein Kinase,,,,FBgn0285896,btl
Bub1,FBgn0031696,Protein Kinase,,,,FBgn0031696,Bub1
Ca-beta,FBgn0259822,Non-protein Kinase,,,,FBgn0287724,Ca-beta
Cad96Ca,FBgn0022800,Protein Kinase,,,,FBgn0022800,Cad96Ca
CaMKI,FBgn0016126,Protein Kinase,,,,FBgn0016126,CaMKI
CaMKII,FBgn0264607,Protein Kinase,,,,FBgn0264607,CaMKII
CASK,FBgn0013759,Protein Kinase,,,,FBgn0013759,CASK
cdc2rk,FBgn0013435,Protein Kinase,,,,FBgn0013435,Cdc2rk
Cdc7,FBgn0028360,Protein Kinase,,,,FBgn0028360,Cdc7
cdi,FBgn0004876,Protein Kinase,,,,FBgn0004876,cdi
Cdk1,FBgn0004106,Protein Kinase,,,,FBgn0004106,Cdk1
Cdk12,FBgn0037093,Protein Kinase,,,,FBgn0037093,Cdk12
Cdk2,FBgn0004107,Protein Kinase,,,,FBgn0004107,Cdk2
Cdk4,FBgn0016131,Protein Kinase,,,,FBgn0016131,Cdk4
Cdk5,FBgn0013762,Protein Kinase,,,,FBgn0013762,Cdk5
Cdk5alpha,FBgn0027491,Protein Kinase,,,,FBgn0027491,Cdk5alpha
Cdk7,FBgn0263237,Protein Kinase,,,,FBgn0263237,Cdk7
Cdk8,FBgn0015618,Protein Kinase,,,,FBgn0015618,Cdk8
Cdk9,FBgn0019949,Protein Kinase,,,,FBgn0019949,Cdk9
Cerk,FBgn0037315,Non-protein Kinase,,,,FBgn0037315,Cerk
cert,FBgn0027569,Protein Kinase,,,,FBgn0027569,cert
CG10082,FBgn0034644,Non-protein Kinase,,,,FBgn0034644,CG10082
CG10177,FBgn0039083,Protein Kinase,,,,FBgn0039083,CG10177
CG10268,FBgn0032811,Non-protein Kinase,,,,FBgn0032811,CG10268
CG10459,FBgn0033440,Protein Kinase,,,,FBgn0033440,CG10459
CG10702,FBgn0032752,Protein Kinase,,,,FBgn0032752,CG10702
CG10738,FBgn0036368,Protein Kinase,,,,FBgn0036368,CG10738
CG10924,FBgn0034356,Non-protein Kinase,,,,FBgn0034356,Pepck2
CG11221,FBgn0031855,Protein Kinase,,,,FBgn0031855,meng
CG11249,FBgn0037115,Non-protein Kinase,,,,FBgn0037115,CG11249
CG11486,FBgn0035397,Protein Kinase,,,,FBgn0035397,PAN3
CG11594,FBgn0035484,Non-protein Kinase,,,,FBgn0035484,CG11594
CG11811,FBgn0036099,Non-protein Kinase,,,,FBgn0036099,CG11811
CG12016,FBgn0035436,Non-protein Kinase,,,,FBgn0035436,CG12016
CG12069,FBgn0039796,Protein Kinase,,,,FBgn0039796,CG12069
CG12147,FBgn0037325,Protein Kinase,,,,FBgn0037325,CG12147
CG12170,FBgn0037356,Protein Kinase,,,,FBgn0037356,CG12170
