Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
aft,FBgn0026309,FGFR signaling pathway,other,,,FBgn0026309,aft
Akt1,FBgn0010379,INSULIN signaling pathway,other,,,FBgn0010379,Akt1
AMPKalpha,FBgn0023169,INSULIN signaling pathway,other,,,FBgn0023169,AMPKalpha
aop,FBgn0000097,EGFR and PVR RTK signaling pathway,TF,,,FBgn0000097,aop
aop,FBgn0000097,FGFR signaling pathway,TF,,,FBgn0000097,aop
aop,FBgn0000097,TNF alpha signaling pathway,TF,,,FBgn0000097,aop
aos,FBgn0004569,EGFR and PVR RTK signaling pathway,ligand,,,FBgn0004569,aos
Apc,FBgn0015589,WNT signaling pathway,other,,,FBgn0015589,Apc
Apc2,FBgn0026598,WNT signaling pathway,other,,,FBgn0026598,Apc2
aph-1,FBgn0031458,NOTCH signaling pathway,other,,,FBgn0031458,aph-1
arm,FBgn0000117,WNT signaling pathway,TF,,,FBgn0000117,arm
arr,FBgn0000119,WNT signaling pathway,receptor,,,FBgn0000119,arr
Axn,FBgn0026597,WNT signaling pathway,other,,,FBgn0026597,Axn
babo,FBgn0011300,TGF beta signaling pathway,receptor,,,FBgn0011300,babo
ben,FBgn0000173,Imd pathway,,,,FBgn0000173,ben
bib,FBgn0000180,NOTCH signaling pathway,other,,,FBgn0000180,bib
bnl,FBgn0014135,FGFR signaling pathway,ligand,,,FBgn0014135,bnl
boca,FBgn0004132,WNT signaling pathway,other,,,FBgn0004132,boca
Brd,FBgn0000216,NOTCH signaling pathway,other,,,FBgn0000216,Brd
brn,FBgn0000221,NOTCH signaling pathway,other,,,FBgn0000221,brn
bsk,FBgn0000229,Imd pathway,,,,FBgn0000229,bsk
bsk,FBgn0000229,Planar Cell Polarity pathway,,,,FBgn0000229,bsk
bsk,FBgn0000229,TNF alpha signaling pathway,other,,,FBgn0000229,bsk
Btk29A,FBgn0003502,TNF alpha signaling pathway,other,,,FBgn0003502,Btk29A
btl,FBgn0005592,FGFR signaling pathway,receptor,,,FBgn0285896,btl
cact,FBgn0000250,Toll pathway,,,,FBgn0000250,cact
CAP,FBgn0033504,INSULIN signaling pathway,other,,,FBgn0033504,CAP
casp,FBgn0034068,Imd pathway,,,,FBgn0034068,casp
Cbl,FBgn0020224,EGFR and PVR RTK signaling pathway,other,,,FBgn0020224,Cbl
Cdc42,FBgn0010341,TNF alpha signaling pathway,other,,,FBgn0010341,Cdc42
CG10176,FBgn0032682,TNF alpha signaling pathway,receptor,,"submitted by user, PMID=25874673",FBgn0032682,grnd
chico,FBgn0024248,INSULIN signaling pathway,other,,,FBgn0024248,chico
ci,FBgn0004859,HEDGEHOG signaling pathway,TF,,,FBgn0004859,ci
Cka,FBgn0044323,Imd pathway,,,,FBgn0044323,Cka
Cka,FBgn0044323,Planar Cell Polarity pathway,,,,FBgn0044323,Cka
Cka,FBgn0044323,TNF alpha signaling pathway,other,,,FBgn0044323,Cka
CkIalpha,FBgn0015024,WNT signaling pathway,other,,,FBgn0015024,CkIalpha
CkIIalpha,FBgn0264492,Circadian Clock pathway,NCore,,,FBgn0264492,CkIIalpha
CkIIbeta,FBgn0000259,Circadian Clock pathway,NCore,,,FBgn0000259,CkIIbeta
