Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
26-29-p,FBgn0250848,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,,Cathepsin,FBgn0250848,26-29-p
Acp1,FBgn0014454,Drosophila Matrisome Genes,Apical Matrix,,Cuticle,FBgn0014454,Acp1
Acp65Aa,FBgn0020765,Drosophila Matrisome Genes,Apical Matrix,,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0020765,Acp65Aa
Actbeta,FBgn0024913,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,Secreted Factors,,TGFb Family,FBgn0024913,Actbeta
AdamTS-A,FBgn0286071,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,,ADAMTS,FBgn0286071,AdamTS-A
AdamTS-B,FBgn0029791,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,,ADAMTS,FBgn0029791,AdamTS-B
Ama,FBgn0000071,Drosophila Matrisome Genes,ECM-affiliated,,,FBgn0000071,Ama
amon,FBgn0023179,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,,,FBgn0023179,amon
ana,FBgn0011746,Drosophila Matrisome Genes,ECM Glycoproteins,,,FBgn0011746,ana
AnxB10,FBgn0000084,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,Annexin,FBgn0000084,AnxB10
AnxB11,FBgn0030749,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,Annexin,FBgn0030749,AnxB11
AnxB9,FBgn0000083,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,Annexin,FBgn0000083,AnxB9
aos,FBgn0004569,Drosophila Matrisome Genes,Secreted Factors,,,FBgn0004569,aos
atk,FBgn0036995,Drosophila Matrisome Genes,ECM Glycoproteins,,Ciliary Matrix,FBgn0036995,atk
bnl,FBgn0014135,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,Secreted Factors,,FGF Family,FBgn0014135,bnl
Burs,FBgn0038901,Drosophila Matrisome Genes,Secreted Factors,,,FBgn0038901,Burs
c12.2,FBgn0040234,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,,FBgn0040234,c12.2
C901,FBgn0021742,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,,FBgn0021742,C901
cathD,FBgn0029093,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM Regulators,,Cathepsin,FBgn0029093,cathD
Ccn,FBgn0052183,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,,,FBgn0052183,Ccn
Ccp84Aa,FBgn0004783,Drosophila Matrisome Genes,Apical Matrix,,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0004783,Ccp84Aa
Ccp84Ab,FBgn0004782,Drosophila Matrisome Genes,Apical Matrix,,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0004782,Ccp84Ab
Ccp84Ac,FBgn0004781,Drosophila Matrisome Genes,Apical Matrix,,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0004781,Ccp84Ac
Ccp84Ad,FBgn0004780,Drosophila Matrisome Genes,Apical Matrix,,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0004780,Ccp84Ad
Ccp84Ae,FBgn0004779,Drosophila Matrisome Genes,Apical Matrix,,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0004779,Ccp84Ae
Ccp84Af,FBgn0004778,Drosophila Matrisome Genes,Apical Matrix,,Cuticle,FBgn0004778,Ccp84Af
Ccp84Ag,FBgn0004777,Drosophila Matrisome Genes,Apical Matrix,,Cuticle; R&R Chitin-binding-domain-containing Proteins,FBgn0004777,Ccp84Ag
Cda4,FBgn0052499,Drosophila Matrisome Genes,Apical Matrix,,Chitin-binding-domain-containing Proteins; Chitin Deacetylase,FBgn0052499,Cda4
Cda5,FBgn0051973,Drosophila Matrisome Genes,Apical Matrix,,Chitin-binding-domain-containing Proteins; Chitin Deacetylase,FBgn0051973,Cda5
Cda9,FBgn0034197,Drosophila Matrisome Genes,Apical Matrix,,Chitin Deacetylase,FBgn0034197,Cda9
