Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
140up,FBgn0010340,,,,,FBgn0010340,140up
5PtaseI,FBgn0259178,,,,,FBgn0259178,5PtaseI
AANAT1,FBgn0019643,,,,,FBgn0019643,AANAT1
Aasdh,FBgn0027780,,,,,FBgn0027780,Aasdh
Aats-glupro,FBgn0005674,enzyme,,,,FBgn0005674,GluProRS
Aats-met,FBgn0027083,enzyme,,,,FBgn0027083,MetRS-m
aay,FBgn0023129,enzyme,,,,FBgn0023129,aay
aay,FBgn0023129,,,,,FBgn0023129,aay
ABCA,FBgn0031170,,,,,FBgn0031170,ABCA
Ac13E,FBgn0022710,enzyme,,,,FBgn0022710,Ac13E
Ac13E,FBgn0022710,,,,,FBgn0022710,Ac13E
Ac3,FBgn0023416,enzyme,,,,FBgn0023416,Ac3
Ac3,FBgn0023416,,,,,FBgn0023416,Ac3
Ac76E,FBgn0004852,enzyme,,,,FBgn0004852,Ac76E
Ac76E,FBgn0004852,,,,,FBgn0004852,Ac76E
Ac78C,FBgn0024150,enzyme,,,,FBgn0024150,Ac78C
Ac78C,FBgn0024150,,,,,FBgn0024150,Ac78C
Acbp1,FBgn0031992,,,,,FBgn0031992,Acbp1
Acbp2,FBgn0010387,,,,,FBgn0010387,Acbp2
ACC,FBgn0033246,enzyme,,,,FBgn0033246,ACC
ACC,FBgn0033246,,,,,FBgn0033246,ACC
AcCoAS,FBgn0012034,enzyme,,,,FBgn0012034,AcCoAS
AcCoAS,FBgn0012034,,,,,FBgn0012034,AcCoAS
Ace,FBgn0000024,enzyme,,,,FBgn0000024,Ace
Ace,FBgn0000024,,,,,FBgn0000024,Ace
Acon,FBgn0010100,enzyme,,,,FBgn0010100,mAcon1
Acon,FBgn0010100,,,,,FBgn0010100,mAcon1
Acox57D-d,FBgn0034629,enzyme,,,,FBgn0034629,Acox57D-d
Acox57D-d,FBgn0034629,,,,,FBgn0034629,Acox57D-d
Acox57D-p,FBgn0034628,enzyme,,,,FBgn0034628,Acox57D-p
Acox57D-p,FBgn0034628,,,,,FBgn0034628,Acox57D-p
Acph-1,FBgn0000032,enzyme,,,,FBgn0000032,Acph-1
Acph-1,FBgn0000032,,,,,FBgn0000032,Acph-1
Acsl,FBgn0263120,enzyme,,,,FBgn0263120,Acsl
Acsl,FBgn0263120,,,,,FBgn0263120,Acsl
ACXA,FBgn0040510,enzyme,,,,FBgn0040510,ACXA
ACXA,FBgn0040510,,,,,FBgn0040510,ACXA
ACXB,FBgn0040509,enzyme,,,,FBgn0040509,ACXB
ACXB,FBgn0040509,,,,,FBgn0040509,ACXB
ACXC,FBgn0040508,enzyme,,,,FBgn0040508,ACXC
ACXC,FBgn0040508,,,,,FBgn0040508,ACXC
ACXD,FBgn0040507,enzyme,,,,FBgn0040507,ACXD
ACXD,FBgn0040507,,,,,FBgn0040507,ACXD
ACXE,FBgn0040506,,,,,FBgn0040506,ACXE
Acyp,FBgn0025115,enzyme,,,,FBgn0025115,Acyp
Acyp,FBgn0025115,,,,,FBgn0025115,Acyp
Acyp2,FBgn0038363,enzyme,,,,FBgn0038363,Acyp2
Acyp2,FBgn0038363,,,,,FBgn0038363,Acyp2
Ada,FBgn0037661,enzyme,,,,FBgn0037661,Ada
Ada,FBgn0037661,,,,,FBgn0037661,Ada
ade2,FBgn0000052,enzyme,,,,FBgn0000052,Pfas
ade3,FBgn0000053,enzyme,,,,FBgn0000053,Gart
ade5,FBgn0020513,enzyme,,,,FBgn0020513,Paics
AdenoK,FBgn0036337,enzyme,,,,FBgn0036337,Adk2
AdenoK,FBgn0036337,,,,,FBgn0036337,Adk2
Adgf-A,FBgn0036752,enzyme,,,,FBgn0036752,Adgf-A
Adgf-A,FBgn0036752,,,,,FBgn0036752,Adgf-A
Adgf-A2,FBgn0043025,,,,,FBgn0043025,Adgf-A2
Adgf-B,FBgn0036751,enzyme,,,,FBgn0036751,Adgf-B
Adgf-B,FBgn0036751,,,,,FBgn0036751,Adgf-B
Adgf-C,FBgn0038173,,,,,FBgn0038173,Adgf-C
Adgf-D,FBgn0038172,enzyme,,,,FBgn0038172,Adgf-D
Adgf-D,FBgn0038172,,,,,FBgn0038172,Adgf-D
Adgf-E,FBgn0033952,enzyme,,,,FBgn0033952,Adgf-E
Adgf-E,FBgn0033952,,,,,FBgn0033952,Adgf-E
Adh,FBgn0000055,enzyme,,,,FBgn0000055,Adh
Adh,FBgn0000055,,,,,FBgn0000055,Adh
Adhr,FBgn0000056,,,,,FBgn0000056,Adhr
Adi1,FBgn0052068,enzyme,,,,FBgn0052068,Adi1
