Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
140up,FBgn0010340,,,,,FBgn0010340,140up
5PtaseI,FBgn0259178,,,,,FBgn0259178,5PtaseI
AANAT1,FBgn0019643,,,,,FBgn0019643,AANAT1
Aasdh,FBgn0027780,,,,,FBgn0027780,Aasdh
aay,FBgn0023129,,,,,FBgn0023129,aay
ABCA,FBgn0031170,,,,,FBgn0031170,ABCA
Ac13E,FBgn0022710,,,,,FBgn0022710,Ac13E
Ac3,FBgn0023416,,,,,FBgn0023416,Ac3
Ac76E,FBgn0004852,,,,,FBgn0004852,Ac76E
Ac78C,FBgn0024150,,,,,FBgn0024150,Ac78C
Acbp1,FBgn0031992,,,,,FBgn0031992,Acbp1
Acbp2,FBgn0010387,,,,,FBgn0010387,Acbp2
ACC,FBgn0033246,,,,,FBgn0033246,ACC
AcCoAS,FBgn0012034,,,,,FBgn0012034,AcCoAS
Ace,FBgn0000024,,,,,FBgn0000024,Ace
Acon,FBgn0010100,,,,,FBgn0010100,mAcon1
Acox57D-d,FBgn0034629,,,,,FBgn0034629,Acox57D-d
Acox57D-p,FBgn0034628,,,,,FBgn0034628,Acox57D-p
Acph-1,FBgn0000032,,,,,FBgn0000032,Acph-1
Acsl,FBgn0263120,,,,,FBgn0263120,Acsl
ACXA,FBgn0040510,,,,,FBgn0040510,ACXA
ACXB,FBgn0040509,,,,,FBgn0040509,ACXB
ACXC,FBgn0040508,,,,,FBgn0040508,ACXC
ACXD,FBgn0040507,,,,,FBgn0040507,ACXD
ACXE,FBgn0040506,,,,,FBgn0040506,ACXE
Acyp,FBgn0025115,,,,,FBgn0025115,Acyp
Acyp2,FBgn0038363,,,,,FBgn0038363,Acyp2
Ada,FBgn0037661,,,,,FBgn0037661,Ada
AdenoK,FBgn0036337,,,,,FBgn0036337,Adk2
Adgf-A,FBgn0036752,,,,,FBgn0036752,Adgf-A
Adgf-A2,FBgn0043025,,,,,FBgn0043025,Adgf-A2
Adgf-B,FBgn0036751,,,,,FBgn0036751,Adgf-B
Adgf-C,FBgn0038173,,,,,FBgn0038173,Adgf-C
Adgf-D,FBgn0038172,,,,,FBgn0038172,Adgf-D
Adgf-E,FBgn0033952,,,,,FBgn0033952,Adgf-E
Adh,FBgn0000055,,,,,FBgn0000055,Adh
Adhr,FBgn0000056,,,,,FBgn0000056,Adhr
Adi1,FBgn0052068,,,,,FBgn0052068,Adi1
AdipoR,FBgn0038984,,,,,FBgn0038984,AdipoR
Adk1,FBgn0022709,,,,,FBgn0022709,Ak1
Adk2,FBgn0283494,,,,,FBgn0283494,Ak2
Adk3,FBgn0042094,,,,,FBgn0042094,Ak3
adp,FBgn0000057,,,,,FBgn0000057,adp
ADPS,FBgn0033983,,,,,FBgn0033983,ADPS
AdSL,FBgn0038467,,,,,FBgn0038467,AdSL
AdSS,FBgn0027493,,,,,FBgn0027493,AdSS
Ady43A,FBgn0026602,,,,,FBgn0026602,Adk3
AGBE,FBgn0053138,,,,,FBgn0053138,AGBE
Agpat1,FBgn0030421,,,,,FBgn0030421,Agpat1
Agpat2,FBgn0026718,,,,,FBgn0026718,Agpat2
Agpat3,FBgn0036623,,,,,FBgn0036623,Agpat3
Agpat4,FBgn0036622,,,,,FBgn0036622,Agpat4
Ahcy,FBgn0014455,,,,,FBgn0014455,Ahcy
AhcyL1,FBgn0035371,,,,,FBgn0035371,AhcyL1
AhcyL2,FBgn0015011,,,,,FBgn0015011,AhcyL2
AIF,FBgn0031392,,,,,FBgn0031392,AIF
AIMP1,FBgn0033351,,,,,FBgn0033351,AIMP1
Ak6,FBgn0033754,,,,,FBgn0033754,Ak6
Akh,FBgn0004552,,,,,FBgn0004552,Akh
AkhR,FBgn0025595,,,,,FBgn0025595,AkhR
Akt1,FBgn0010379,,,,,FBgn0010379,Akt1
AlaRS,FBgn0027094,,,,,FBgn0027094,AlaRS
AlaRS-m,FBgn0028962,,,,,FBgn0028962,AlaRS-m
Alas,FBgn0020764,,,,,FBgn0020764,Alas
alc,FBgn0260972,,,,,FBgn0260972,alc
Ald,FBgn0000064,,,,,FBgn0000064,Ald1
Aldh,FBgn0012036,,,,,FBgn0012036,Aldh
Aldh-III,FBgn0010548,,,,,FBgn0010548,Aldh-III
Alg1,FBgn0038552,,,,,FBgn0038552,Alg1
Alg10,FBgn0052076,,,,,FBgn0052076,Alg10
Alg11,FBgn0037108,,,,,FBgn0037108,Alg11
Alg14,FBgn0030645,,,,,FBgn0030645,Alg14
Alg2,FBgn0035401,,,,,FBgn0035401,Alg2
