Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
CG30382,FBgn0050382,NA,,,,FBgn0050382,Prosalpha1R
CG8858,FBgn0033698,NA,,,,FBgn0033698,CG8858
CG9588,FBgn0038166,NA,,,,FBgn0038166,CG9588
Prosalpha1,FBgn0263121,NA,,,,FBgn0263121,Prosalpha1
Prosalpha2,FBgn0086134,NA,,,,FBgn0086134,Prosalpha2
Prosalpha3,FBgn0261394,NA,,,,FBgn0261394,Prosalpha3
Prosalpha3T,FBgn0261395,NA,,,,FBgn0261395,Prosalpha3T
Prosalpha4,FBgn0004066,NA,,,,FBgn0004066,Prosalpha4
Prosalpha4T1,FBgn0265606,NA,,,,FBgn0265606,Prosalpha4T1
Prosalpha4T2,FBgn0017556,NA,,,,FBgn0017556,Prosalpha4T2
Prosalpha5,FBgn0016697,NA,,,,FBgn0016697,Prosalpha5
Prosalpha6,FBgn0250843,NA,,,,FBgn0250843,Prosalpha6
Prosalpha6T,FBgn0032492,NA,,,,FBgn0032492,Prosalpha6T
Prosalpha7,FBgn0023175,NA,,,,FBgn0023175,Prosalpha7
Prosbeta1,FBgn0010590,NA,,,,FBgn0010590,Prosbeta1
Prosbeta2,FBgn0023174,NA,,,,FBgn0023174,Prosbeta2
Prosbeta2R1,FBgn0029812,NA,,,,FBgn0029812,Prosbeta2R1
Prosbeta2R2,FBgn0037296,NA,,,,FBgn0037296,Prosbeta2R2
Prosbeta3,FBgn0026380,NA,,,,FBgn0026380,Prosbeta3
Prosbeta4,FBgn0032596,NA,,,,FBgn0032596,Prosbeta4
Prosbeta4R1,FBgn0031442,NA,,,,FBgn0031442,Prosbeta4R1
Prosbeta4R2,FBgn0031443,NA,,,,FBgn0031443,Prosbeta4R2
Prosbeta5,FBgn0029134,NA,,,,FBgn0029134,Prosbeta5
Prosbeta5R1,FBgn0034842,NA,,,,FBgn0034842,Prosbeta5R1
Prosbeta5R2,FBgn0051742,NA,,,,FBgn0051742,Prosbeta5R2
Prosbeta6,FBgn0002284,NA,,,,FBgn0002284,Prosbeta6
Prosbeta7,FBgn0250746,NA,,,,FBgn0250746,Prosbeta7
REG,FBgn0029133,NA,,,,FBgn0029133,REG
Rpn1,FBgn0028695,NA,,,,FBgn0028695,Rpn1
Rpn10,FBgn0015283,NA,,,,FBgn0015283,Rpn10
Rpn11,FBgn0028694,NA,,,,FBgn0028694,Rpn11
Rpn12,FBgn0028693,NA,,,,FBgn0028693,Rpn12
Rpn12R,FBgn0036465,NA,,,,FBgn0036465,Rpn12R
Rpn13,FBgn0033886,NA,,,,FBgn0033886,Rpn13
Rpn2,FBgn0028692,NA,,,,FBgn0028692,Rpn2
Rpn3,FBgn0261396,NA,,,,FBgn0261396,Rpn3
Rpn5,FBgn0028690,NA,,,,FBgn0028690,Rpn5
Rpn6,FBgn0028689,NA,,,,FBgn0028689,Rpn6
Rpn7,FBgn0028688,NA,,,,FBgn0028688,Rpn7
Rpn8,FBgn0002787,NA,,,,FBgn0002787,Rpn8
Rpn9,FBgn0028691,NA,,,,FBgn0028691,Rpn9
Rpt1,FBgn0028687,NA,,,,FBgn0028687,Rpt1
Rpt2,FBgn0015282,NA,,,,FBgn0015282,Rpt2
Rpt3,FBgn0028686,NA,,,,FBgn0028686,Rpt3
Rpt3R,FBgn0037742,NA,,,,FBgn0037742,Rpt3R
Rpt4,FBgn0028685,NA,,,,FBgn0028685,Rpt4
Rpt4R,FBgn0036224,NA,,,,FBgn0036224,Rpt4R
Rpt5,FBgn0028684,NA,,,,FBgn0028684,Rpt5
Rpt6,FBgn0020369,NA,,,,FBgn0020369,Rpt6
Rpt6R,FBgn0039788,NA,,,,FBgn0039788,Rpt6R
Sem1,FBgn0266666,NA,,,,FBgn0266666,Sem1
Uch-L5,FBgn0011327,NA,,,,FBgn0011327,Uch-L5
yip3,FBgn0040063,NA,,,,FBgn0040063,yip3
