Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
4EHP,FBgn0053100,NA,,,,FBgn0053100,eIF4EHP
A2bp1,FBgn0052062,NA,,,,FBgn0052062,Rbfox1
Aats-ala,FBgn0027094,NA,,,,FBgn0027094,AlaRS
Aats-ala-m,FBgn0028962,NA,,,,FBgn0028962,AlaRS-m
Aats-cys,FBgn0027091,NA,,,,FBgn0027091,CysRS
Aats-glupro,FBgn0005674,NA,,,,FBgn0005674,GluProRS
Aats-phe-m,FBgn0275436,NA,,,,FBgn0275436,PheRS-m
Aats-tyr,FBgn0027080,NA,,,,FBgn0027080,TyrRS
Aats-tyr-m,FBgn0035064,NA,,,,FBgn0035064,TyrRS-m
abs,FBgn0015331,NA,,,,FBgn0015331,abs
Acn,FBgn0263198,NA,,,,FBgn0263198,Acn
Adam,FBgn0027619,NA,,,,FBgn0027619,eIF3j
Adar,FBgn0026086,NA,,,,FBgn0026086,Adar
Adat1,FBgn0028658,NA,,,,FBgn0028658,Adat1
AGO1,FBgn0262739,NA,,,,FBgn0262739,AGO1
AGO2,FBgn0087035,NA,,,,FBgn0087035,AGO2
AGO3,FBgn0250816,NA,,,,FBgn0250816,AGO3
alpha-PheRS,FBgn0030007,NA,,,,FBgn0030007,alpha-PheRS
APC4,FBgn0052707,NA,,,,FBgn0052707,APC4
apt,FBgn0015903,NA,,,,FBgn0015903,apt
aret,FBgn0000114,NA,,,,FBgn0000114,bru1
ash1,FBgn0005386,NA,,,,FBgn0005386,ash1
Atx-1,FBgn0029907,NA,,,,FBgn0029907,Atx-1
aub,FBgn0000146,NA,,,,FBgn0000146,aub
B52,FBgn0004587,NA,,,,FBgn0004587,B52
barc,FBgn0037081,NA,,,,FBgn0037081,barc
bcd,FBgn0000166,NA,,,,FBgn0000166,bcd
bel,FBgn0263231,NA,,,,FBgn0263231,bel
beta-PheRS,FBgn0039175,NA,,,,FBgn0039175,beta-PheRS
BicC,FBgn0000182,NA,,,,FBgn0000182,BicC
BicD,FBgn0000183,NA,,,,FBgn0000183,BicD
bin3,FBgn0263144,NA,,,,FBgn0263144,bin3
bl,FBgn0267791,NA,,,,FBgn0267791,HnRNP-K
blanks,FBgn0035608,NA,,,,FBgn0035608,blanks
bol,FBgn0011206,NA,,,,FBgn0011206,bol
brat,FBgn0010300,NA,,,,FBgn0010300,brat
bru-2,FBgn0262475,NA,,,,FBgn0262475,bru2
bru-3,FBgn0264001,NA,,,,FBgn0264001,bru3
bsf,FBgn0032679,NA,,,,FBgn0284256,bsf
c12.1,FBgn0040235,NA,,,,FBgn0040235,c12.1
Cad89D,FBgn0038439,NA,,,,FBgn0038439,Cad89D
Caper,FBgn0031883,NA,,,,FBgn0031883,Caper
Capr,FBgn0042134,NA,,,,FBgn0042134,Capr
caz,FBgn0011571,NA,,,,FBgn0285954,caz
Cbp20,FBgn0022943,NA,,,,FBgn0022943,Cbp20
Cbp80,FBgn0022942,NA,,,,FBgn0022942,Cbp80
CG10077,FBgn0035720,NA,,,,FBgn0035720,CG10077
CG10189,FBgn0032793,NA,,,,FBgn0032793,CG10189
CG10306,FBgn0034654,NA,,,,FBgn0034654,eIF3k
CG10333,FBgn0032690,NA,,,,FBgn0032690,CG10333
CG10341,FBgn0032701,NA,,,,FBgn0032701,CG10341
CG10384,FBgn0034731,NA,,,,FBgn0034731,CG10384
CG10418,FBgn0036277,NA,,,,FBgn0036277,CG10418
CG10466,FBgn0032822,NA,,,,FBgn0032822,CG10466
CG10777,FBgn0029979,NA,,,,FBgn0029979,mahe
CG10803,FBgn0029666,NA,,,,FBgn0029666,CG10803
CG10889,FBgn0038769,NA,,,,FBgn0038769,Regnase-1
CG10909,FBgn0038090,NA,,,,FBgn0038090,CG10909
CG10948,FBgn0036317,NA,,,,FBgn0036317,CG10948
CG10993,FBgn0030524,NA,,,,FBgn0030524,CG10993
CG11109,FBgn0037200,NA,,,,FBgn0037200,CG11109
CG11123,FBgn0033169,NA,,,,FBgn0033169,CG11123
CG11337,FBgn0039846,NA,,,,FBgn0039846,PNPase
CG11360,FBgn0039920,NA,,,,FBgn0039920,CG11360
CG11454,FBgn0031224,NA,,,,FBgn0031224,CG11454
CG11505,FBgn0035424,NA,,,,FBgn0035424,Larp4B
CG11726,FBgn0036156,NA,,,,FBgn0036156,CG11726
CG11837,FBgn0039627,NA,,,,FBgn0039627,CG11837
CG12129,FBgn0033475,NA,,,,FBgn0033475,CG12129
CG12288,FBgn0032620,NA,,,,FBgn0032620,CG12288
CG12413,FBgn0039588,NA,,,,FBgn0039588,mIF2
CG12493,FBgn0035571,NA,,,,FBgn0035571,CG12493
CG12736,FBgn0033184,NA,,,,FBgn0033184,mEFTu2
CG13096,FBgn0032050,NA,,,,FBgn0032050,CG13096
CG13124,FBgn0032156,NA,,,,FBgn0032156,CG13124
CG1316,FBgn0035526,NA,,,,FBgn0035526,CG1316
CG13298,FBgn0035692,NA,,,,FBgn0035692,Sf3b6
CG1340,FBgn0039797,NA,,,,FBgn0039797,eIF4H2
CG13690,FBgn0031252,NA,,,,FBgn0031252,CG13690
CG14100,FBgn0036889,NA,,,,FBgn0036889,CG14100
CG14230,FBgn0031062,NA,,,,FBgn0031062,CG14230
CG1434,FBgn0030554,NA,,,,FBgn0030554,CG1434
CG14414,FBgn0030571,NA,,,,FBgn0030571,CG14414
CG14443,FBgn0029880,NA,,,,FBgn0029880,CG14443
CG14506,FBgn0039659,NA,,,,FBgn0039659,CG14506
CG14628,FBgn0040365,NA,,,,FBgn0040365,CG14628
CG14641,FBgn0037220,NA,,,,FBgn0037220,CG14641
CG14718,FBgn0037939,NA,,,,FBgn0037939,CG14718
CG14891,FBgn0038445,NA,,,,FBgn0038445,CG14891
CG15014,FBgn0035532,NA,,,,FBgn0035532,CG15014
CG15440,FBgn0031607,NA,,,,FBgn0031607,Secp43
CG15523,FBgn0039727,NA,,,,FBgn0039727,Vps13B
CG1582,FBgn0030246,NA,,,,FBgn0030246,CG1582
CG1677,FBgn0029941,NA,,,,FBgn0029941,CG1677
CG16940,FBgn0035111,NA,,,,FBgn0035111,Dis3l2
CG16941,FBgn0266917,NA,,,,FBgn0266917,Sf3a1
CG17018,FBgn0039972,NA,,,,FBgn0039972,Marf1
CG17386,FBgn0033936,NA,,,,FBgn0033936,Achl
CG17454,FBgn0039977,NA,,,,FBgn0039977,CG17454
CG17737,FBgn0035423,NA,,,,FBgn0035423,eIF1
CG17768,FBgn0032240,NA,,,,FBgn0032240,CG17768
CG18178,FBgn0036035,NA,,,,FBgn0036035,CG18178
CG18259,FBgn0030956,NA,,,,FBgn0030956,CG18259
CG18596,FBgn0038953,NA,,,,FBgn0038953,CG18596
