Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
aru,FBgn0029095,NA,,,,FBgn0029095,aru
bonsai,FBgn0026261,NA,,,,FBgn0026261,bonsai
CG10602,FBgn0032721,NA,,,,FBgn0032721,CG10602
CG13096,FBgn0032050,NA,,,,FBgn0032050,CG13096
CG15458,FBgn0040651,NA,,,,FBgn0040651,CG15458
CG17672,FBgn0083978,NA,,,,FBgn0083978,CG17672
CG18304,FBgn0031869,NA,,,,FBgn0031869,CG18304
CG30114,FBgn0050114,NA,,,,FBgn0050114,CG30114
CG3213,FBgn0031545,NA,,,,FBgn0031545,CG3213
CG32276,FBgn0047135,NA,,,,FBgn0047135,CG32276
CG43795,FBgn0264339,NA,,,,FBgn0264339,CG43795
CG4866,FBgn0034232,NA,,,,FBgn0034232,CG4866
CYLD,FBgn0032210,NA,,,,FBgn0032210,CYLD
mRpL1,FBgn0037566,NA,,,,FBgn0037566,mRpL1
mRpL10,FBgn0031231,NA,,,,FBgn0031231,mRpL10
mRpL11,FBgn0038234,NA,,,,FBgn0038234,mRpL11
mRpL12,FBgn0011787,NA,,,,FBgn0011787,mRpL12
mRpL13,FBgn0032720,NA,,,,FBgn0032720,mRpL13
mRpL14,FBgn0040389,NA,,,,FBgn0040389,mRpL14
mRpL15,FBgn0036990,NA,,,,FBgn0036990,mRpL15
mRpL16,FBgn0023519,NA,,,,FBgn0023519,mRpL16
mRpL17,FBgn0035122,NA,,,,FBgn0035122,mRpL17
mRpL18,FBgn0026741,NA,,,,FBgn0026741,mRpL18
mRpL19,FBgn0037608,NA,,,,FBgn0037608,mRpL19
mRpL2,FBgn0036135,NA,,,,FBgn0036135,mRpL2
mRpL20,FBgn0036335,NA,,,,FBgn0036335,mRpL20
mRpL21,FBgn0036853,NA,,,,FBgn0036853,mRpL21
mRpL22,FBgn0030786,NA,,,,FBgn0030786,mRpL22
mRpL23,FBgn0035335,NA,,,,FBgn0035335,mRpL23
mRpL24,FBgn0031651,NA,,,,FBgn0031651,mRpL24
mRpL27,FBgn0053002,NA,,,,FBgn0053002,mRpL27
mRpL28,FBgn0031660,NA,,,,FBgn0031660,mRpL28
mRpL3,FBgn0030686,NA,,,,FBgn0030686,mRpL3
mRpL30,FBgn0029718,NA,,,,FBgn0029718,mRpL30
mRpL32,FBgn0039835,NA,,,,FBgn0039835,mRpL32
mRpL33,FBgn0040907,NA,,,,FBgn0040907,mRpL33
mRpL34,FBgn0083983,NA,,,,FBgn0083983,mRpL34
