Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
alphaTry,FBgn0003863,NA,,,,FBgn0003863,alphaTry
amon,FBgn0023179,NA,,,,FBgn0023179,amon
betaTry,FBgn0010357,NA,,,,FBgn0010357,betaTry
CG10232,FBgn0039108,NA,,,,FBgn0039108,CG10232
CG10405,FBgn0038431,NA,,,,FBgn0038431,CG10405
CG10472,FBgn0035670,NA,,,,FBgn0035670,CG10472
CG10477,FBgn0035661,NA,,,,FBgn0035661,CG10477
CG10663,FBgn0036287,NA,,,,FBgn0036287,CG10663
CG10764,FBgn0034221,NA,,,,FBgn0034221,CG10764
CG11192,FBgn0034507,NA,,,,FBgn0034507,CG11192
CG11313,FBgn0039798,NA,,,,FBgn0039798,CG11313
CG11529,FBgn0036264,NA,,,,FBgn0036264,CG11529
CG11668,FBgn0038113,NA,,,,FBgn0038113,CG11668
CG11670,FBgn0038114,NA,,,,FBgn0038114,CG11670
CG11836,FBgn0039272,NA,,,,FBgn0039272,CG11836
CG11841,FBgn0039628,NA,,,,FBgn0039628,CG11841
CG11842,FBgn0039629,NA,,,,FBgn0039629,CG11842
CG11843,FBgn0039630,NA,,,,FBgn0039630,CG11843
CG11911,FBgn0031249,NA,,,,FBgn0031249,CG11911
CG11912,FBgn0031248,NA,,,,FBgn0031248,CG11912
CG12133,FBgn0033469,NA,,,,FBgn0033469,CG12133
CG12256,FBgn0038002,NA,,,,FBgn0038002,CG12256
CG12951,FBgn0037677,NA,,,,FBgn0037677,CG12951
CG1299,FBgn0035501,NA,,,,FBgn0035501,CG1299
CG13430,FBgn0034518,NA,,,,FBgn0034518,CG13430
CG14642,FBgn0037222,NA,,,,FBgn0037222,CG14642
CG14780,FBgn0025383,NA,,,,FBgn0025383,CG14780
CG14892,FBgn0038447,NA,,,,FBgn0038447,CG14892
CG16710,FBgn0039101,NA,,,,FBgn0039101,CG16710
CG16749,FBgn0037678,NA,,,,FBgn0037678,CG16749
CG17234,FBgn0042187,NA,,,,FBgn0042187,CG17234
CG17239,FBgn0042186,NA,,,,FBgn0042186,CG17239
CG17404,FBgn0038001,NA,,,,FBgn0038001,CG17404
CG17475,FBgn0038481,NA,,,,FBgn0038481,CG17475
CG17477,FBgn0038479,NA,,,,FBgn0038479,CG17477
CG17571,FBgn0259998,NA,,,,FBgn0259998,CG17571
CG1773,FBgn0033439,NA,,,,FBgn0033439,CG1773
CG18179,FBgn0036023,NA,,,,FBgn0036023,CG18179
CG18180,FBgn0036024,NA,,,,FBgn0036024,CG18180
CG18735,FBgn0042098,NA,,,,FBgn0042098,CG18735
CG2200,FBgn0030447,NA,,,,FBgn0030447,CG2200
CG30002,FBgn0260474,NA,,,,FBgn0260474,CG30002
CG30025,FBgn0050025,NA,,,,FBgn0050025,CG30025
CG30031,FBgn0050031,NA,,,,FBgn0050031,CG30031
CG30083,FBgn0050083,NA,,,,FBgn0050083,CG30083
CG30087,FBgn0050087,NA,,,,FBgn0050087,CG30087
CG30088,FBgn0050088,NA,,,,FBgn0050088,CG30088
CG30090,FBgn0050090,NA,,,,FBgn0050090,CG30090
CG30187,FBgn0050187,NA,,,,FBgn0050187,CG30187
CG30287,FBgn0050287,NA,,,,FBgn0050287,CG30287
CG30289,FBgn0050289,NA,,,,FBgn0050289,CG30289
CG30414,FBgn0050414,NA,,,,FBgn0050414,CG30414
CG31220,FBgn0051220,NA,,,,FBgn0051220,CG31220
CG31265,FBgn0051265,NA,,,,FBgn0051265,CG31265
CG31269,FBgn0051269,NA,,,,FBgn0051269,CG31269
CG31681,FBgn0051681,NA,,,,FBgn0051681,CG31681
CG31728,FBgn0051728,NA,,,,FBgn0284244,l(2)k05911
CG31954,FBgn0051954,NA,,,,FBgn0051954,CG31954
CG32269,FBgn0052269,NA,,,,FBgn0052269,CG32269
CG32270,FBgn0052270,NA,,,,FBgn0052270,CG32270
CG32808,FBgn0052808,NA,,,,FBgn0052808,CG32808
CG33159,FBgn0053159,NA,,,,FBgn0053159,CG33159
CG33160,FBgn0053160,NA,,,,FBgn0053160,CG33160
CG3355,FBgn0031619,NA,,,,FBgn0031619,CG3355
CG34290,FBgn0085319,NA,,,,FBgn0085319,CG34290
CG34409,FBgn0085438,NA,,,,FBgn0085438,CG34409
CG34458,FBgn0085487,NA,,,,FBgn0085487,CG34458
CG3700,FBgn0034796,NA,,,,FBgn0034796,CG3700
CG3795,FBgn0025378,NA,,,,FBgn0025378,CG3795
CG3916,FBgn0038003,NA,,,,FBgn0038003,CG3916
CG4053,FBgn0038482,NA,,,,FBgn0038482,CG4053
CG4386,FBgn0034661,NA,,,,FBgn0034661,tpr
CG4613,FBgn0036427,NA,,,,FBgn0036427,CG4613
CG4914,FBgn0036436,NA,,,,FBgn0036436,CG4914
CG4927,FBgn0034139,NA,,,,FBgn0034139,CG4927
CG5045,FBgn0032229,NA,,,,FBgn0032229,ClpP
CG5246,FBgn0038484,NA,,,,FBgn0038484,CG5246
CG5255,FBgn0038485,NA,,,,FBgn0038485,CG5255
CG6048,FBgn0029827,NA,,,,FBgn0029827,CG6048
CG6462,FBgn0035663,NA,,,,FBgn0035663,CG6462
CG6592,FBgn0035669,NA,,,,FBgn0035669,CG6592
CG7432,FBgn0038727,NA,,,,FBgn0038727,CG7432
CG7542,FBgn0036738,NA,,,,FBgn0036738,CG7542
CG8170,FBgn0033365,NA,,,,FBgn0033365,CG8170
CG8172,FBgn0033362,NA,,,,FBgn0033362,CG8172
CG8213,FBgn0033359,NA,,,,FBgn0286782,flz
CG8299,FBgn0034052,NA,,,,FBgn0034052,CG8299
CG8329,FBgn0036022,NA,,,,FBgn0036022,CG8329
CG8870,FBgn0038144,NA,,,,FBgn0038144,CG8870
CG8952,FBgn0030688,NA,,,,FBgn0030688,CG8952
CG9294,FBgn0034666,NA,,,,FBgn0034666,CG9294
