Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
abs,FBgn0015331,NA,,,,FBgn0015331,abs
Acn,FBgn0263198,NA,,,,FBgn0263198,Acn
AGO2,FBgn0087035,NA,,,,FBgn0087035,AGO2
aret,FBgn0000114,NA,,,,FBgn0000114,bru1
Ars2,FBgn0033062,NA,,,,FBgn0033062,Ars2
asf1,FBgn0029094,NA,,,,FBgn0029094,asf1
ASPP,FBgn0034606,NA,,,,FBgn0034606,ASPP
aub,FBgn0000146,NA,,,,FBgn0000146,aub
B52,FBgn0004587,NA,,,,FBgn0004587,B52
BCAS2,FBgn0039558,NA,,,,FBgn0039558,BCAS2
beag,FBgn0037660,NA,,,,FBgn0037660,beag
Bin1,FBgn0024491,NA,,,,FBgn0024491,Bin1
bl,FBgn0267791,NA,,,,FBgn0267791,HnRNP-K
btz,FBgn0045862,NA,,,,FBgn0045862,btz
Bug22,FBgn0032248,NA,,,,FBgn0032248,Bug22
Bx42,FBgn0004856,NA,,,,FBgn0004856,Bx42
c12.1,FBgn0040235,NA,,,,FBgn0040235,c12.1
cactin,FBgn0031114,NA,,,,FBgn0031114,cactin
Caper,FBgn0031883,NA,,,,FBgn0031883,Caper
caz,FBgn0011571,NA,,,,FBgn0285954,caz
cbc,FBgn0033842,NA,,,,FBgn0033842,cbc
Cbp20,FBgn0022943,NA,,,,FBgn0022943,Cbp20
Cbp80,FBgn0022942,NA,,,,FBgn0022942,Cbp80
Cdc27,FBgn0012058,NA,,,,FBgn0012058,Cdc27
cdc2rk,FBgn0013435,NA,,,,FBgn0013435,Cdc2rk
Cdc5,FBgn0265574,NA,,,,FBgn0265574,Cdc5
Cdk12,FBgn0037093,NA,,,,FBgn0037093,Cdk12
CG10333,FBgn0032690,NA,,,,FBgn0032690,CG10333
CG10418,FBgn0036277,NA,,,,FBgn0036277,CG10418
CG10445,FBgn0037531,NA,,,,FBgn0037531,CG10445
CG10466,FBgn0032822,NA,,,,FBgn0032822,CG10466
CG10754,FBgn0036314,NA,,,,FBgn0036314,Sf3a2
CG10907,FBgn0036207,NA,,,,FBgn0036207,CG10907
CG1109,FBgn0046222,NA,,,,FBgn0046222,Wdr33
CG11360,FBgn0039920,NA,,,,FBgn0039920,CG11360
CG11674,FBgn0030551,NA,,,,FBgn0030551,CG11674
CG11808,FBgn0034000,NA,,,,FBgn0034000,CG11808
CG11985,FBgn0040534,NA,,,,FBgn0040534,Sf3b5
CG12343,FBgn0033556,NA,,,,FBgn0033556,CG12343
CG13298,FBgn0035692,NA,,,,FBgn0035692,Sf3b6
