Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
140up,FBgn0010340,NA,,,,FBgn0010340,140up
18w,FBgn0004364,NA,,,,FBgn0287775,18w
2mit,FBgn0260793,NA,,,,FBgn0260793,2mit
5-HT1A,FBgn0004168,NA,,,,FBgn0004168,5-HT1A
5-HT1B,FBgn0263116,NA,,,,FBgn0263116,5-HT1B
5-HT2A,FBgn0087012,NA,,,,FBgn0087012,5-HT2A
5-HT2B,FBgn0261929,NA,,,,FBgn0261929,5-HT2B
5-HT7,FBgn0004573,NA,,,,FBgn0004573,5-HT7
7B2,FBgn0041707,NA,,,,FBgn0041707,7B2
825-Oak,FBgn0052208,NA,,,,FBgn0052208,825-Oak
ABCB7,FBgn0035244,NA,,,,FBgn0035244,ABCB7
Ac13E,FBgn0022710,NA,,,,FBgn0022710,Ac13E
Ac3,FBgn0023416,NA,,,,FBgn0023416,Ac3
Ac76E,FBgn0004852,NA,,,,FBgn0004852,Ac76E
Ac78C,FBgn0024150,NA,,,,FBgn0024150,Ac78C
ACC,FBgn0033246,NA,,,,FBgn0033246,ACC
Acp33A,FBgn0267327,NA,,,,FBgn0267327,Acp33A
Acp95EF,FBgn0002863,NA,,,,FBgn0002863,Acp95EF
Acph-1,FBgn0000032,NA,,,,FBgn0000032,Acph-1
Acsl,FBgn0263120,NA,,,,FBgn0263120,Acsl
ACXA,FBgn0040510,NA,,,,FBgn0040510,ACXA
ACXB,FBgn0040509,NA,,,,FBgn0040509,ACXB
ACXC,FBgn0040508,NA,,,,FBgn0040508,ACXC
ACXD,FBgn0040507,NA,,,,FBgn0040507,ACXD
ACXE,FBgn0040506,NA,,,,FBgn0040506,ACXE
AdamTS-A,FBgn0038341,NA,,,,FBgn0286071,AdamTS-A
Adgf-A2,FBgn0043025,NA,,,,FBgn0043025,Adgf-A2
AdipoR,FBgn0038984,NA,,,,FBgn0038984,AdipoR
AdoR,FBgn0039747,NA,,,,FBgn0039747,AdoR
AIF,FBgn0031392,NA,,,,FBgn0031392,AIF
Akh,FBgn0004552,NA,,,,FBgn0004552,Akh
AkhR,FBgn0025595,NA,,,,FBgn0025595,AkhR
Aldh-III,FBgn0010548,NA,,,,FBgn0010548,Aldh-III
Alg-2,FBgn0086378,NA,,,,FBgn0086378,Alg-2
Alg10,FBgn0052076,NA,,,,FBgn0052076,Alg10
Alk,FBgn0040505,NA,,,,FBgn0040505,Alk
alpha-catenin-related,FBgn0029105,NA,,,,FBgn0029105,alpha-Catr
alpha-Man-Ia,FBgn0259170,NA,,,,FBgn0259170,alpha-Man-Ia
alpha-Man-Ib,FBgn0039634,NA,,,,FBgn0039634,alpha-Man-Ib
alpha-Man-Ic,FBgn0051202,NA,,,,FBgn0051202,alpha-Man-Ic
alpha-Man-IIa,FBgn0011740,NA,,,,FBgn0011740,alpha-Man-IIa
alpha-Man-IIb,FBgn0026616,NA,,,,FBgn0026616,alpha-Man-IIb
alpha4GT1,FBgn0031491,NA,,,,FBgn0031491,alpha4GT1
alpha4GT2,FBgn0039378,NA,,,,FBgn0039378,alpha4GT2
alphaKap4,FBgn0035657,NA,,,,FBgn0035657,alphaKap4
alt,FBgn0038535,NA,,,,FBgn0038535,alt
Ama,FBgn0000071,NA,,,,FBgn0000071,Ama
Amnionless,FBgn0025686,NA,,,,FBgn0025686,Amnionless
Amt,FBgn0038309,NA,,,,FBgn0038309,Amt
amx,FBgn0000077,NA,,,,FBgn0000077,amx
Anp,FBgn0000094,NA,,,,FBgn0000094,Anp
Ant2,FBgn0025111,NA,,,,FBgn0025111,Ant2
aos,FBgn0004569,NA,,,,FBgn0004569,aos
aph-1,FBgn0031458,NA,,,,FBgn0031458,aph-1
Aplip1,FBgn0040281,NA,,,,FBgn0040281,Aplip1
app,FBgn0260941,NA,,,,FBgn0260941,app
Appl,FBgn0000108,NA,,,,FBgn0000108,Appl
AQP,FBgn0033807,NA,,,,FBgn0033807,AQP
aralar1,FBgn0028646,NA,,,,FBgn0028646,aralar1
arr,FBgn0000119,NA,,,,FBgn0000119,arr
Asph,FBgn0034075,NA,,,,FBgn0034075,Asph
AstA-R1,FBgn0266429,NA,,,,FBgn0266429,AstA-R1
AstA-R2,FBgn0039595,NA,,,,FBgn0039595,AstA-R2
AstC,FBgn0032336,NA,,,,FBgn0032336,AstC
AstC-R1,FBgn0036790,NA,,,,FBgn0036790,AstC-R1
AstC-R2,FBgn0036789,NA,,,,FBgn0036789,AstC-R2
Atet,FBgn0020762,NA,,,,FBgn0020762,Atet
Atf-2,FBgn0265193,NA,,,,FBgn0265193,Atf-2
Atg9,FBgn0034110,NA,,,,FBgn0034110,Atg9
atl,FBgn0039213,NA,,,,FBgn0039213,atl
ATP7,FBgn0030343,NA,,,,FBgn0030343,ATP7
ATP8B,FBgn0037989,NA,,,,FBgn0037989,ATP8B
Atpalpha,FBgn0002921,NA,,,,FBgn0002921,Atpalpha
ATPsynbeta,FBgn0010217,NA,,,,FBgn0010217,ATPsynbeta
ATPsynbetaL,FBgn0036568,NA,,,,FBgn0036568,ATPsynbetaL
ATPsynC,FBgn0039830,NA,,,,FBgn0039830,ATPsynC
ATPsynF,FBgn0035032,NA,,,,FBgn0035032,ATPsynF
AttA,FBgn0012042,NA,,,,FBgn0012042,AttA
AttC,FBgn0041579,NA,,,,FBgn0041579,AttC
axo,FBgn0262870,NA,,,,FBgn0262870,axo
Axs,FBgn0000152,NA,,,,FBgn0000152,Axs
B-H2,FBgn0004854,NA,,,,FBgn0004854,B-H2
babo,FBgn0011300,NA,,,,FBgn0011300,babo
babos,FBgn0034724,NA,,,,FBgn0034724,babos
bai,FBgn0045866,NA,,,,FBgn0045866,bai
Baldspot,FBgn0260960,NA,,,,FBgn0260960,Baldspot
bbc,FBgn0033844,NA,,,,FBgn0033844,bbc
bc10,FBgn0040239,NA,,,,FBgn0040239,bc10
bdg,FBgn0034049,NA,,,,FBgn0034049,bdg
bdl,FBgn0028482,NA,,,,FBgn0028482,bdl
be,FBgn0052594,NA,,,,FBgn0052594,be
beat-Ib,FBgn0028645,NA,,,,FBgn0028645,beat-Ib
beat-IV,FBgn0039089,NA,,,,FBgn0039089,beat-IV
beat-Va,FBgn0038087,NA,,,,FBgn0038087,beat-Va
beat-VI,FBgn0039584,NA,,,,FBgn0039584,beat-VI
Bem46,FBgn0025109,NA,,,,FBgn0025109,Bem46
Best1,FBgn0040238,NA,,,,FBgn0040238,Best1
Best2,FBgn0035696,NA,,,,FBgn0035696,Best2
Best3,FBgn0036492,NA,,,,FBgn0036492,Best3
Best4,FBgn0036491,NA,,,,FBgn0036491,Best4
Bet1,FBgn0260857,NA,,,,FBgn0260857,Bet1
beta3GalTII,FBgn0033315,NA,,,,FBgn0033315,beta3GalTII
beta4GalNAcTA,FBgn0027538,NA,,,,FBgn0027538,beta4GalNAcTA
beta4GalNAcTB,FBgn0039625,NA,,,,FBgn0039625,beta4GalNAcTB
beta4GalT7,FBgn0039258,NA,,,,FBgn0039258,beta4GalT7
BG642312,FBgn0047334,NA,,,,FBgn0047334,BG642312
BI-1,FBgn0035871,NA,,,,FBgn0035871,BI-1
bib,FBgn0000180,NA,,,,FBgn0000180,bib
BicC,FBgn0000182,NA,,,,FBgn0000182,BicC
bip1,FBgn0026263,NA,,,,FBgn0026263,bip1
blot,FBgn0027660,NA,,,,FBgn0027660,blot
bnl,FBgn0014135,NA,,,,FBgn0014135,bnl
bocks,FBgn0037719,NA,,,,FBgn0037719,bocks
boi,FBgn0040388,NA,,,,FBgn0040388,boi
bond,FBgn0260942,NA,,,,FBgn0260942,bond
boss,FBgn0000206,NA,,,,FBgn0000206,boss
botv,FBgn0027535,NA,,,,FBgn0027535,botv
bou,FBgn0261284,NA,,,,FBgn0261284,bou
brn,FBgn0000221,NA,,,,FBgn0000221,brn
brv1,FBgn0036874,NA,,,,FBgn0036874,brv1
brv2,FBgn0036712,NA,,,,FBgn0036712,brv2
brv3,FBgn0040333,NA,,,,FBgn0040333,brv3
Bsg,FBgn0261822,NA,,,,FBgn0261822,Bsg
btl,FBgn0005592,NA,,,,FBgn0285896,btl
Buffy,FBgn0040491,NA,,,,FBgn0040491,Buffy
Burs,FBgn0038901,NA,,,,FBgn0038901,Burs
bves,FBgn0031150,NA,,,,FBgn0031150,bves
bw,FBgn0000241,NA,,,,FBgn0000241,bw
bwa,FBgn0045064,NA,,,,FBgn0045064,bwa
C1GalTA,FBgn0032078,NA,,,,FBgn0032078,C1GalTA
Ca-alpha1D,FBgn0001991,NA,,,,FBgn0001991,Ca-alpha1D
Ca-alpha1T,FBgn0264386,NA,,,,FBgn0264386,Ca-alpha1T
Ca-P60A,FBgn0263006,NA,,,,FBgn0263006,SERCA
cac,FBgn0263111,NA,,,,FBgn0263111,cac
cactin,FBgn0031114,NA,,,,FBgn0031114,cactin
Cad74A,FBgn0036715,NA,,,,FBgn0036715,Cad74A
Cad86C,FBgn0261053,NA,,,,FBgn0261053,Cad86C
Cad87A,FBgn0037963,NA,,,,FBgn0037963,Cad87A
