Head_ectoderm	skyblue1
Ectoderm_kn	skyblue2
Dorsal_ectoderm_PS1	skyblue3
Neuroectoderm_PS1	slateblue
Ectoderm_PS2	skyblue4
Amnioserosa_anterior	gray85
Amnioserosa	gray75
Dorsal_ectoderm_odd	olivedrab1
Dorsal_ectoderm_even	olivedrab2
Neuroectoderm	olivedrab3
Midline_cells	magenta
Ectoderm_PS14	cadetblue4
Hindgut	goldenrod1
Posterior_midgut	coral3
Head_mesoderm/Anterior_midgut	coral2
Anterior_mesoderm	plum1
Mesoderm_PS1-3	plum2
Mesoderm_odd	plum3
Mesoderm_even	plum4
Mesoderm_PS13	deeppink3
Posterior_mesoderm	deeppink4
Pole_cells	gray35
