Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
14-3-3epsilon,FBgn0020238,NA,,,,FBgn0020238,14-3-3epsilon
Aats-thr,FBgn0027081,NA,,,,FBgn0027081,ThrRS
Aats-val,FBgn0027079,NA,,,,FBgn0027079,ValRS
ACC,FBgn0033246,NA,,,,FBgn0033246,ACC
ade2,FBgn0000052,NA,,,,FBgn0000052,Pfas
AdSL,FBgn0038467,NA,,,,FBgn0038467,AdSL
alc,FBgn0260972,NA,,,,FBgn0260972,alc
Aldh,FBgn0012036,NA,,,,FBgn0012036,Aldh
alphaCOP,FBgn0025725,NA,,,,FBgn0025725,alphaCOP
AMPKalpha,FBgn0023169,NA,,,,FBgn0023169,AMPKalpha
aPKC,FBgn0261854,NA,,,,FBgn0261854,aPKC
AsnS,FBgn0270926,NA,,,,FBgn0270926,AsnS
Atg1,FBgn0260945,NA,,,,FBgn0260945,Atg1
Atg101,FBgn0030960,NA,,,,FBgn0030960,Atg101
Atg12,FBgn0036255,NA,,,,FBgn0036255,Atg12
Atg13,FBgn0261108,NA,,,,FBgn0261108,Atg13
Atg16,FBgn0039705,NA,,,,FBgn0039705,Atg16
Atg17,FBgn0037363,NA,,,,FBgn0037363,Atg17
Atg18a,FBgn0035850,NA,,,,FBgn0035850,Atg18a
Atg18b,FBgn0032935,NA,,,,FBgn0032935,Atg18b
Atg2,FBgn0044452,NA,,,,FBgn0044452,Atg2
Atg3,FBgn0036813,NA,,,,FBgn0036813,Atg3
Atg4a,FBgn0031298,NA,,,,FBgn0031298,Atg4a
Atg5,FBgn0029943,NA,,,,FBgn0029943,Atg5
Atg6,FBgn0264325,NA,,,,FBgn0264325,Atg6
Atg7,FBgn0034366,NA,,,,FBgn0034366,Atg7
Atg8a,FBgn0052672,NA,,,,FBgn0052672,Atg8a
Atg8b,FBgn0038539,NA,,,,FBgn0038539,Atg8b
Atg9,FBgn0034110,NA,,,,FBgn0034110,Atg9
beta'COP,FBgn0025724,NA,,,,FBgn0025724,beta'COP
beta-PheRS,FBgn0039175,NA,,,,FBgn0039175,beta-PheRS
betaggt-I,FBgn0015000,NA,,,,FBgn0015000,betaggt-I
betaggt-II,FBgn0028970,NA,,,,FBgn0028970,betaggt-II
br,FBgn0000210,NA,,,,FBgn0283451,br
Buffy,FBgn0040491,NA,,,,FBgn0040491,Buffy
bur,FBgn0000239,NA,,,,FBgn0000239,bur
Caf1,FBgn0263979,NA,,,,FBgn0263979,Caf1-55
Cam,FBgn0000253,NA,,,,FBgn0000253,Cam
Cand1,FBgn0027568,NA,,,,FBgn0027568,Cand1
car,FBgn0000257,NA,,,,FBgn0000257,car
Cctgamma,FBgn0015019,NA,,,,FBgn0015019,CCT3
Cdc37,FBgn0011573,NA,,,,FBgn0011573,Cdc37
CG10253,FBgn0033983,NA,,,,FBgn0033983,ADPS
CG10426,FBgn0036273,NA,,,,FBgn0036273,INPP5E
CG12360,FBgn0038111,NA,,,,FBgn0283438,CG46280
CG12360,FBgn0038111,,,,,FBgn0283439,CG46281
CG12795,FBgn0031535,NA,,,,FBgn0031535,CG12795
CG17259,FBgn0031497,NA,,,,FBgn0031497,SerRS
CG1749,FBgn0030305,NA,,,,FBgn0030305,Uba5
CG17514,FBgn0039959,NA,,,,FBgn0287182,l(3)80Fj
CG17698,FBgn0040056,NA,,,,FBgn0040056,CG17698
CG18324,FBgn0033905,NA,,,,FBgn0033905,CG18324
CG31251,FBgn0051251,NA,,,,FBgn0051251,CG31251
CG31855,FBgn0051855,NA,,,,FBgn0051855,CG31855
CG33123,FBgn0053123,NA,,,,FBgn0284253,LeuRS
CG3803,FBgn0034938,NA,,,,FBgn0034938,CG3803
CG41099,FBgn0039955,NA,,,,FBgn0039955,CG41099
CG42233,FBgn0250755,NA,,,,FBgn0250755,CG42233
CG42638,FBgn0261361,NA,,,,FBgn0261361,CG42638
CG42668,FBgn0261550,NA,,,,FBgn0261550,CG42668
CG4332,FBgn0030456,NA,,,,FBgn0030456,CG4332
CG4572,FBgn0038738,NA,,,,FBgn0038738,CG4572
CG5103,FBgn0036784,NA,,,,FBgn0036784,CG5103
CG5660,FBgn0035942,NA,,,,FBgn0035942,ValRS-m
CG6512,FBgn0036702,NA,,,,FBgn0036702,CG6512
CG6724,FBgn0032298,NA,,,,FBgn0032298,CG6724
CG7033,FBgn0030086,NA,,,,FBgn0030086,CCT2
CG8036,FBgn0037607,NA,,,,FBgn0037607,CG8036
