Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
140up,FBgn0010340,,,,,FBgn0010340,140up
Ac3,FBgn0023416,,,,,FBgn0023416,Ac3
Actbeta,FBgn0024913,,,,,FBgn0024913,Actbeta
Ada1-1,FBgn0051865,,,,,FBgn0051865,Ada1-1
Ada1-2,FBgn0051866,,,,,FBgn0051866,Ada1-2
Adat1,FBgn0028658,,,,,FBgn0028658,Adat1
alpha4GT1,FBgn0031491,,,,,FBgn0031491,alpha4GT1
alpha4GT2,FBgn0039378,,,,,FBgn0039378,alpha4GT2
Amnionless,FBgn0025686,,,,,FBgn0025686,Amnionless
aop,FBgn0000097,,,,,FBgn0000097,aop
APC4,FBgn0052707,,,,,FBgn0052707,APC4
Apoltp,FBgn0032136,,,,,FBgn0032136,Apoltp
Asx,FBgn0261823,,,,,FBgn0261823,Asx
Atac1,FBgn0031876,,,,,FBgn0031876,Atac1
Atac2,FBgn0032691,,,,,FBgn0032691,Atac2
Atac3,FBgn0052343,,,,,FBgn0052343,Atac3
Atg14,FBgn0039636,,,,,FBgn0039636,Atg14
atk,FBgn0036995,,,,,FBgn0036995,atk
ave,FBgn0050476,,,,,FBgn0050476,ave
Axs,FBgn0000152,,,,,FBgn0000152,Axs
bap,FBgn0004862,,,,,FBgn0004862,bap
bnl,FBgn0014135,,,,,FBgn0014135,bnl
bonsai,FBgn0026261,,,,,FBgn0026261,bonsai
Bsg25D,FBgn0000228,,,,,FBgn0000228,Bsg25D
Btk29A,FBgn0003502,,,,,FBgn0003502,Btk29A
Btnd,FBgn0029848,,,,,FBgn0029848,Btnd
Buffy,FBgn0040491,,,,,FBgn0040491,Buffy
bves,FBgn0031150,,,,,FBgn0031150,bves
byn,FBgn0011723,,,,,FBgn0011723,byn
cas,FBgn0004878,,,,,FBgn0004878,cas
caz,FBgn0011571,,,,,FBgn0285954,caz
Cbp53E,FBgn0004580,,,,,FBgn0004580,Cbp53E
cbs,FBgn0086757,,,,,FBgn0086757,cbs
CCDC151,FBgn0036219,,,,,FBgn0036219,CCDC151
CCHa1-R,FBgn0050106,,,,,FBgn0050106,CCHa1-R
CCHa2-R,FBgn0033058,,,,,FBgn0033058,CCHa2-R
Ccn,FBgn0052183,,,,,FBgn0052183,Ccn
Cen,FBgn0032876,,,,,FBgn0032876,Cen
Cep135,FBgn0036480,,,,,FBgn0036480,Cep135
CG10041,FBgn0038014,,,,,FBgn0038014,CG10041
CG10050,FBgn0037492,,,,,FBgn0037492,CG10050
CG10064,FBgn0035724,,,,,FBgn0035724,CG10064
CG10116,FBgn0036367,,,,,FBgn0036367,CG10116
CG10252,FBgn0039104,,,,,FBgn0039104,CG10252
CG10300,FBgn0039107,,,,,FBgn0039107,CG10300
CG10301,FBgn0039106,,,,,FBgn0039106,CG10301
CG10307,FBgn0034655,,,,,FBgn0034655,CG10307
CG10326,FBgn0038453,,,,,FBgn0038453,Arl6IP1
CG10357,FBgn0035453,,,,,FBgn0035453,CG10357
CG10359,FBgn0035452,,,,,FBgn0035452,CG10359
CG10420,FBgn0039296,,,,,FBgn0039296,Sil1
CG10428,FBgn0032724,,,,,FBgn0032724,CG10428
CG10469,FBgn0035678,,,,,FBgn0035678,CG10469
CG10472,FBgn0035670,,,,,FBgn0035670,CG10472
CG10477,FBgn0035661,,,,,FBgn0035661,CG10477
CG10516,FBgn0036549,,,,,FBgn0036549,CG10516
CG10543,FBgn0034570,,,,,FBgn0034570,CG10543
CG10584,FBgn0037045,,,,,FBgn0037045,CG10584
CG10657,FBgn0036289,,,,,FBgn0036289,CG10657
CG10761,FBgn0030015,,,,,FBgn0030015,CG10761
CG10809,FBgn0036052,,,,,FBgn0036052,CG10809
CG10839,FBgn0028858,,,,,FBgn0028858,CG10839
CG10859,FBgn0032520,,,,,FBgn0032520,CG10859
CG10874,FBgn0031395,,,,,FBgn0031395,CG10874
CG10877,FBgn0038804,,,,,FBgn0038804,CG10877
CG1090,FBgn0037238,,,,,FBgn0037238,CG1090
CG10948,FBgn0036317,,,,,FBgn0036317,CG10948
CG10958,FBgn0030004,,,,,FBgn0030004,CG10958
CG10979,FBgn0037379,,,,,FBgn0037379,CG10979
CG11125,FBgn0033174,,,,,FBgn0033174,CG11125
CG11148,FBgn0039936,,,,,FBgn0039936,Gyf
CG11159,FBgn0034539,,,,,FBgn0034539,CG11159
CG11210,FBgn0033259,,,,,FBgn0033259,Tmem63
CG11262,FBgn0036329,,,,,FBgn0036329,CG11262
CG11309,FBgn0037070,,,,,FBgn0037070,CG11309
CG11342,FBgn0035537,,,,,FBgn0035537,CG11342
CG11399,FBgn0037021,,,,,FBgn0037021,CG11399
CG11449,FBgn0037162,,,,,FBgn0037162,CG11449
CG11456,FBgn0037031,,,,,FBgn0037031,CG11456
CG11529,FBgn0036264,,,,,FBgn0036264,CG11529
CG11550,FBgn0039864,,,,,FBgn0039864,CG11550
CG11562,FBgn0031247,,,,,FBgn0031247,CG11562
CG11671,FBgn0037562,,,,,FBgn0037562,Nazo
CG11699,FBgn0030311,,,,,FBgn0030311,CG11699
CG1172,FBgn0264712,,,,,FBgn0264712,CG1172
CG11825,FBgn0033519,,,,,FBgn0033519,CG11825
CG11970,FBgn0027503,,,,,FBgn0027503,CG11970
CG12012,FBgn0035444,,,,,FBgn0035444,CG12012
CG12014,FBgn0035445,,,,,FBgn0035445,Ids
CG12061,FBgn0040031,,,,,FBgn0040031,CG12061
CG12194,FBgn0031636,,,,,FBgn0031636,CG12194
CG12207,FBgn0038220,,,,,FBgn0285913,red
CG12237,FBgn0031048,,,,,FBgn0031048,CG12237
CG12256,FBgn0038002,,,,,FBgn0038002,CG12256
CG12304,FBgn0036515,,,,,FBgn0036515,AIMP2
CG12321,FBgn0038577,,,,,FBgn0038577,CG12321
CG1233,FBgn0035137,,,,,FBgn0035137,CG1233
CG12341,FBgn0033550,,,,,FBgn0033550,CG12341
CG12384,FBgn0033624,,,,,FBgn0033624,CG12384
