Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
1-Sep,FBgn0011710,NA,,,,FBgn0011710,1-Sep
14-3-3epsilon,FBgn0020238,NA,,,,FBgn0020238,14-3-3epsilon
14-3-3zeta,FBgn0004907,NA,,,,FBgn0004907,14-3-3zeta
2-Sep,FBgn0014029,NA,,,,FBgn0014029,2-Sep
4-Sep,FBgn0259923,NA,,,,FBgn0259923,4-Sep
5-Sep,FBgn0026361,NA,,,,FBgn0026361,5-Sep
Abi,FBgn0020510,NA,,,,FBgn0020510,Abi
Abl,FBgn0000017,NA,,,,FBgn0000017,Abl
Abp1,FBgn0036372,NA,,,,FBgn0036372,Abp1
Act42A,FBgn0000043,NA,,,,FBgn0000043,Act42A
Act57B,FBgn0000044,NA,,,,FBgn0000044,Act57B
Act5C,FBgn0000042,NA,,,,FBgn0000042,Act5C
Act79B,FBgn0000045,NA,,,,FBgn0000045,Act79B
Act87E,FBgn0000046,NA,,,,FBgn0000046,Act87E
Act88F,FBgn0000047,NA,,,,FBgn0000047,Act88F
Actn,FBgn0000667,NA,,,,FBgn0000667,Actn
Actn3,FBgn0015008,NA,,,,FBgn0015008,Actn3
alpha-Cat,FBgn0010215,NA,,,,FBgn0010215,alpha-Cat
alpha-catenin-related,FBgn0029105,NA,,,,FBgn0029105,alpha-Catr
alpha-Spec,FBgn0250789,NA,,,,FBgn0250789,alpha-Spec
alphaTub67C,FBgn0087040,NA,,,,FBgn0087040,alphaTub67C
alphaTub84B,FBgn0003884,NA,,,,FBgn0003884,alphaTub84B
alphaTub84D,FBgn0003885,NA,,,,FBgn0003885,alphaTub84D
alphaTub85E,FBgn0003886,NA,,,,FBgn0003886,alphaTub85E
Ank,FBgn0011747,NA,,,,FBgn0011747,Ank
Ank2,FBgn0261788,NA,,,,FBgn0261788,Ank2
AnxB10,FBgn0000084,NA,,,,FBgn0000084,AnxB10
AnxB11,FBgn0030749,NA,,,,FBgn0030749,AnxB11
AnxB9,FBgn0000083,NA,,,,FBgn0000083,AnxB9
Apc,FBgn0015589,NA,,,,FBgn0015589,Apc
Apc2,FBgn0026598,NA,,,,FBgn0026598,Apc2
Arf51F,FBgn0013750,NA,,,,FBgn0013750,Arf51F
arm,FBgn0000117,NA,,,,FBgn0000117,arm
armi,FBgn0041164,NA,,,,FBgn0041164,armi
Arp1,FBgn0011745,NA,,,,FBgn0011745,Arp1
Arp10,FBgn0031050,NA,,,,FBgn0031050,Arp10
Arp2,FBgn0011742,NA,,,,FBgn0011742,Arp2
Arp3,FBgn0262716,NA,,,,FBgn0262716,Arp3
Arp5,FBgn0038576,NA,,,,FBgn0038576,Arp5
Arp53D,FBgn0011743,NA,,,,FBgn0011743,Arp53D
Arp6,FBgn0011741,NA,,,,FBgn0011741,Arp6
Arp8,FBgn0030877,NA,,,,FBgn0030877,Arp8
Arpc1,FBgn0001961,NA,,,,FBgn0001961,Arpc1
Arpc2,FBgn0032859,NA,,,,FBgn0032859,Arpc2
Arpc3A,FBgn0038369,NA,,,,FBgn0038369,Arpc3A
Arpc3B,FBgn0065032,NA,,,,FBgn0065032,Arpc3B
Arpc4,FBgn0031781,NA,,,,FBgn0284255,Arpc4
Arpc5,FBgn0031437,NA,,,,FBgn0031437,Arpc5
asp,FBgn0000140,NA,,,,FBgn0000140,asp
aurB,FBgn0024227,NA,,,,FBgn0024227,aurB
awd,FBgn0000150,NA,,,,FBgn0000150,awd
Bap55,FBgn0025716,NA,,,,FBgn0025716,Bap55
baz,FBgn0000163,NA,,,,FBgn0000163,baz
BBS4,FBgn0033578,NA,,,,FBgn0033578,BBS4
beta-Spec,FBgn0250788,NA,,,,FBgn0250788,beta-Spec
betaTub56D,FBgn0003887,NA,,,,FBgn0284243,betaTub56D
betaTub60D,FBgn0003888,NA,,,,FBgn0003888,betaTub60D
betaTub85D,FBgn0003889,NA,,,,FBgn0003889,betaTub85D
betaTub97EF,FBgn0003890,NA,,,,FBgn0003890,betaTub97EF
bic,FBgn0000181,NA,,,,FBgn0000181,bic
BicC,FBgn0000182,NA,,,,FBgn0000182,BicC
BicD,FBgn0000183,NA,,,,FBgn0000183,BicD
bif,FBgn0014133,NA,,,,FBgn0014133,bif
Bili,FBgn0039282,NA,,,,FBgn0039282,Bili
blow,FBgn0004133,NA,,,,FBgn0004133,blow
bnk,FBgn0004389,NA,,,,FBgn0004389,bnk
borr,FBgn0032105,NA,,,,FBgn0032105,borr
brp,FBgn0259246,NA,,,,FBgn0259246,brp
Bsg,FBgn0261822,NA,,,,FBgn0261822,Bsg
bt,FBgn0005666,NA,,,,FBgn0005666,bt
Btk29A,FBgn0003502,NA,,,,FBgn0003502,Btk29A
btv,FBgn0023096,NA,,,,FBgn0023096,btv
btz,FBgn0045862,NA,,,,FBgn0045862,btz
by,FBgn0000244,NA,,,,FBgn0000244,by
CalpA,FBgn0012051,NA,,,,FBgn0012051,CalpA
cana,FBgn0040233,NA,,,,FBgn0040233,cana
capt,FBgn0261458,NA,,,,FBgn0261458,capt
capu,FBgn0000256,NA,,,,FBgn0000256,capu
Cdc42,FBgn0010341,NA,,,,FBgn0010341,Cdc42
Cdep,FBgn0265082,NA,,,,FBgn0265082,Cdep
Cdk5,FBgn0013762,NA,,,,FBgn0013762,Cdk5
Cdlc2,FBgn0026141,NA,,,,FBgn0026141,Cdlc2
CG10068,FBgn0037473,NA,,,,FBgn0037473,CG10068
CG10822,FBgn0034478,NA,,,,FBgn0034478,CG10822
CG10834,FBgn0032972,NA,,,,FBgn0032972,CG10834
CG10839,FBgn0028858,NA,,,,FBgn0028858,CG10839
CG10859,FBgn0032520,NA,,,,FBgn0032520,CG10859
CG10939,FBgn0010620,NA,,,,FBgn0010620,CG10939
CG12042,FBgn0033206,NA,,,,FBgn0033206,DCTN4-p62
CG13930,FBgn0035256,NA,,,,FBgn0035256,CG13930
CG14535,FBgn0031955,NA,,,,FBgn0031955,CG14535
CG14763,FBgn0033243,NA,,,,FBgn0033243,CG14763
CG14838,FBgn0035799,NA,,,,FBgn0035799,CG14838
CG15097,FBgn0034396,NA,,,,FBgn0034396,CG15097
CG1571,FBgn0029993,NA,,,,FBgn0029993,CG1571
CG16837,FBgn0035009,NA,,,,FBgn0035009,CG16837
CG17150,FBgn0035581,NA,,,,FBgn0035581,Dnah3
