Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
18w,FBgn0004364,NA,,,,FBgn0287775,18w
26-29-p,FBgn0250848,NA,,,,FBgn0250848,26-29-p
Acp26Aa,FBgn0002855,NA,,,,FBgn0002855,Acp26Aa
Acp65Aa,FBgn0020765,NA,,,,FBgn0020765,Acp65Aa
Adgf-A,FBgn0036752,NA,,,,FBgn0036752,Adgf-A
Adgf-D,FBgn0038172,NA,,,,FBgn0038172,Adgf-D
Alk,FBgn0040505,NA,,,,FBgn0040505,Alk
alpha-Man-IIb,FBgn0026616,NA,,,,FBgn0026616,alpha-Man-IIb
alrm,FBgn0039332,NA,,,,FBgn0039332,alrm
Ama,FBgn0000071,NA,,,,FBgn0000071,Ama
Ance,FBgn0012037,NA,,,,FBgn0012037,Ance
Ance-3,FBgn0032536,NA,,,,FBgn0032536,Ance-3
Ance-4,FBgn0033366,NA,,,,FBgn0033366,Ance-4
Apoltp,FBgn0032136,NA,,,,FBgn0032136,Apoltp
axo,FBgn0262870,NA,,,,FBgn0262870,axo
bdl,FBgn0028482,NA,,,,FBgn0028482,bdl
beat-IV,FBgn0039089,NA,,,,FBgn0039089,beat-IV
beat-Vc,FBgn0038084,NA,,,,FBgn0038084,beat-Vc
beat-VII,FBgn0250908,NA,,,,FBgn0250908,beat-VII
beta-Man,FBgn0037215,NA,,,,FBgn0037215,beta-Man
boss,FBgn0000206,NA,,,,FBgn0000206,boss
bou,FBgn0261284,NA,,,,FBgn0261284,bou
Cad74A,FBgn0036715,NA,,,,FBgn0036715,Cad74A
Cad87A,FBgn0037963,NA,,,,FBgn0037963,Cad87A
Cad99C,FBgn0039709,NA,,,,FBgn0039709,Cad99C
CadN,FBgn0015609,NA,,,,FBgn0015609,CadN
CAH2,FBgn0027843,NA,,,,FBgn0027843,CAH2
cathD,FBgn0029093,NA,,,,FBgn0029093,cathD
cd,FBgn0263986,NA,,,,FBgn0263986,cd
CD98hc,FBgn0037533,NA,,,,FBgn0037533,CD98hc
Cda4,FBgn0052499,NA,,,,FBgn0052499,Cda4
CDase,FBgn0039774,NA,,,,FBgn0039774,CDase
CG10211,FBgn0032685,NA,,,,FBgn0032685,CG10211
CG10217,FBgn0039113,NA,,,,FBgn0039113,udt
CG10359,FBgn0035452,NA,,,,FBgn0035452,CG10359
CG10407,FBgn0038395,NA,,,,FBgn0038395,CG10407
