Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
Amt,FBgn0038309,,Y,,,FBgn0038309,Amt
AnxB10,FBgn0000084,,Y,,,FBgn0000084,AnxB10
AnxB11,FBgn0030749,,Y,,,FBgn0030749,AnxB11
AnxB9,FBgn0000083,,Y,,,FBgn0000083,AnxB9
Axs,FBgn0000152,,Y,,,FBgn0000152,Axs
Best1,FBgn0040238,,Y,,,FBgn0040238,Best1
Best2,FBgn0035696,,Y,,,FBgn0035696,Best2
Best3,FBgn0036492,,Y,,,FBgn0036492,Best3
Best4,FBgn0036491,,Y,,,FBgn0036491,Best4
bib,FBgn0000180,,Y,,,FBgn0000180,bib
brv1,FBgn0036874,,Y,,,FBgn0036874,brv1
brv2,FBgn0036712,,Y,,,FBgn0036712,brv2
brv3,FBgn0040333,,Y,,,FBgn0040333,brv3
Ca-alpha1D,FBgn0001991,,Y,,,FBgn0001991,Ca-alpha1D
Ca-alpha1T,FBgn0264386,,Y,,,FBgn0264386,Ca-alpha1T
Ca-beta,FBgn0259822,,Y,,,FBgn0287724,Ca-beta
cac,FBgn0263111,,Y,,,FBgn0263111,cac
CG10353,FBgn0030349,,Y,,,FBgn0030349,CG10353
CG10470,FBgn0032746,,Y,,,FBgn0032746,CG10470
CG10864,FBgn0038621,,Y,,,FBgn0038621,CG10864
CG1090,FBgn0037238,,Y,,,FBgn0037238,CG1090
CG11155,FBgn0039927,,Y,,,FBgn0039927,CG11155
CG11210,FBgn0033259,,Y,,,FBgn0033259,Tmem63
CG11566,FBgn0031159,,Y,,,FBgn0031159,CG11566
CG11581,FBgn0030540,,Y,,,FBgn0030540,CG11581
CG12061,FBgn0040031,,Y,,,FBgn0040031,CG12061
CG12344,FBgn0033558,,Y,,,FBgn0033558,CG12344
CG13641,FBgn0039239,,Y,,,FBgn0039239,CG13641
CG15270,FBgn0028879,,Y,,,FBgn0028879,CG15270
CG16743,FBgn0032322,,Y,,,FBgn0032322,CG16743
CG1688,FBgn0027589,,Y,,,FBgn0027589,CG1688
CG17167,FBgn0039941,,Y,,,FBgn0039941,CG17167
CG18549,FBgn0038053,,Y,,,FBgn0038053,CG18549
CG2121,FBgn0033289,,Y,,,FBgn0033289,CG2121
CG30048,FBgn0050048,,Y,,,FBgn0050048,CG30048
CG33061,FBgn0053061,,Y,,,FBgn0053061,CG33061
CG33509,FBgn0053509,,Y,,,FBgn0053509,CG33509
CG33510,FBgn0053510,,Y,,,FBgn0053510,CG33510
CG33511,FBgn0053511,,Y,,,FBgn0053511,CG33511
CG34396,FBgn0085425,,Y,,,FBgn0085425,CG34396
CG3638,FBgn0261444,,Y,,,FBgn0261444,CG3638
CG4098,FBgn0036648,,Y,,,FBgn0036648,CG4098
CG42260,FBgn0259145,,Y,,,FBgn0259145,CG42260
CG42340,FBgn0259242,,Y,,,FBgn0259242,CG42340
CG4239,FBgn0030745,,Y,,,FBgn0030745,CG4239
CG42594,FBgn0260971,,Y,,,FBgn0260971,CG42594
CG42638,FBgn0261361,,Y,,,FBgn0261361,CG42638
CG43155,FBgn0262685,,Y,,,FBgn0262685,CG43155
CG4587,FBgn0028863,,Y,,,FBgn0028863,CG4587
CG4928,FBgn0027556,,Y,,,FBgn0027556,CG4928
CG5002,FBgn0034275,,Y,,,FBgn0034275,CG5002
CG5404,FBgn0038354,,Y,,,FBgn0038354,CG5404
CG6026,FBgn0038676,,Y,,,FBgn0038676,CG6026
CG6125,FBgn0038337,,Y,,,FBgn0038337,CG6125
CG6752,FBgn0038296,,Y,,,FBgn0038296,CG6752
CG6927,FBgn0029733,,Y,,,FBgn0029733,CG6927
CG6928,FBgn0036240,,Y,,,FBgn0036240,CG6928
CG6938,FBgn0036235,,Y,,,FBgn0036235,CG6938
CG7589,FBgn0036727,,Y,,,FBgn0036727,SecCl
CG7912,FBgn0039736,,Y,,,FBgn0039736,CG7912
CG8916,FBgn0030707,,Y,,,FBgn0030707,CG8916
CG9194,FBgn0035192,,Y,,,FBgn0035192,galene
CG9702,FBgn0039787,,Y,,,FBgn0039787,CG9702
CG9717,FBgn0039789,,Y,,,FBgn0039789,CG9717
CheB42a,FBgn0053348,,Y,,,FBgn0053348,CheB42a
ClC-a,FBgn0051116,,Y,,,FBgn0051116,ClC-a
ClC-b,FBgn0033755,,Y,,,FBgn0033755,ClC-b
ClC-c,FBgn0036566,,Y,,,FBgn0036566,ClC-c
Clic,FBgn0030529,,Y,,,FBgn0030529,Clic
clumsy,FBgn0026255,,Y,,,FBgn0026255,clumsy
CngA,FBgn0261612,,Y,,,FBgn0261612,CngA
CngB,FBgn0266346,,Y,,,FBgn0266346,CngB
Cngl,FBgn0263257,,Y,,,FBgn0263257,Cngl
Ctr1A,FBgn0062413,,Y,,,FBgn0062413,Ctr1A
Ctr1B,FBgn0062412,,Y,,,FBgn0062412,Ctr1B
Ctr1C,FBgn0062411,,Y,,,FBgn0062411,Ctr1C
Debcl,FBgn0029131,,Y,,,FBgn0029131,Debcl
Drip,FBgn0015872,,Y,,,FBgn0015872,Drip
eag,FBgn0000535,,Y,,,FBgn0000535,eag
Eglp1,FBgn0034882,,Y,,,FBgn0034882,Eglp1
Eglp2,FBgn0034883,,Y,,,FBgn0034883,Eglp2
Eglp3,FBgn0034884,,Y,,,FBgn0034884,Eglp3
Eglp4,FBgn0034885,,Y,,,FBgn0034885,Eglp4
Ekar,FBgn0039916,,Y,,,FBgn0039916,Ekar
Elk,FBgn0011589,,Y,,,FBgn0011589,Elk
EMRE,FBgn0062440,,Y,,,FBgn0062440,EMRE
Esp,FBgn0013953,,Y,,,FBgn0013953,Esp
fwe,FBgn0261722,,Y,,,FBgn0261722,fwe
GluClalpha,FBgn0024963,,Y,,,FBgn0024963,GluClalpha
GluRIA,FBgn0004619,,Y,,,FBgn0004619,GluRIA
GluRIB,FBgn0264000,,Y,,,FBgn0264000,GluRIB
GluRIIA,FBgn0004620,,Y,,,FBgn0004620,GluRIIA
GluRIIB,FBgn0020429,,Y,,,FBgn0020429,GluRIIB
GluRIIC,FBgn0046113,,Y,,,FBgn0046113,GluRIIC
GluRIID,FBgn0028422,,Y,,,FBgn0028422,GluRIID
GluRIIE,FBgn0051201,,Y,,,FBgn0051201,GluRIIE
GPHR,FBgn0033995,,Y,,,FBgn0033995,GPHR
Grd,FBgn0001134,,Y,,,FBgn0001134,Grd
Grik,FBgn0038840,,Y,,,FBgn0038840,Grik
HisCl1,FBgn0037950,,Y,,,FBgn0037950,HisCl1
Hk,FBgn0263220,,Y,,,FBgn0263220,Hk
iav,FBgn0086693,,Y,,,FBgn0086693,iav
Ih,FBgn0263397,,Y,,,FBgn0263397,Ih
Inx2,FBgn0027108,,Y,,,FBgn0027108,Inx2
Inx3,FBgn0265274,,Y,,,FBgn0265274,Inx3
Inx5,FBgn0030989,,Y,,,FBgn0030989,Inx5
Inx6,FBgn0027107,,Y,,,FBgn0027107,Inx6
Inx7,FBgn0027106,,Y,,,FBgn0027106,Inx7
Ir100a,FBgn0039879,,Y,,,FBgn0039879,Ir100a
Ir10a,FBgn0083979,,Y,,,FBgn0083979,Ir10a
Ir11a,FBgn0030385,,Y,,,FBgn0030385,Ir11a
Ir20a,FBgn0031181,,Y,,,FBgn0031181,Ir20a
Ir21a,FBgn0031209,,Y,,,FBgn0031209,Ir21a
Ir25a,FBgn0031634,,Y,,,FBgn0031634,Ir25a
Ir31a,FBgn0051718,,Y,,,FBgn0051718,Ir31a
Ir40a,FBgn0259683,,Y,,,FBgn0259683,Ir40a
Ir41a,FBgn0040849,,Y,,,FBgn0040849,Ir41a
Ir47a,FBgn0033515,,Y,,,FBgn0033515,Ir47a
Ir48b,FBgn0033648,,Y,,,FBgn0033648,Ir48b
Ir48c,FBgn0033651,,Y,,,FBgn0033651,Ir48c
Ir51b,FBgn0050081,,Y,,,FBgn0050081,Ir51b
Ir52a,FBgn0034023,,Y,,,FBgn0034023,Ir52a
Ir52b,FBgn0050469,,Y,,,FBgn0050469,Ir52b
Ir52c,FBgn0050468,,Y,,,FBgn0050468,Ir52c
Ir52d,FBgn0050464,,Y,,,FBgn0050464,Ir52d
Ir54a,FBgn0034272,,Y,,,FBgn0034272,Ir54a
Ir56a,FBgn0050125,,Y,,,FBgn0050125,Ir56a
Ir56b,FBgn0034456,,Y,,,FBgn0034456,Ir56b
Ir56c,FBgn0034457,,Y,,,FBgn0034457,Ir56c
Ir56d,FBgn0034458,,Y,,,FBgn0034458,Ir56d
Ir60a,FBgn0034994,,Y,,,FBgn0034994,Ir60a
Ir60b,FBgn0259185,,Y,,,FBgn0259185,Ir60b
Ir60d,FBgn0259187,,Y,,,FBgn0259187,Ir60d
Ir60e,FBgn0035019,,Y,,,FBgn0035019,Ir60e
Ir62a,FBgn0053971,,Y,,,FBgn0053971,Ir62a
Ir64a,FBgn0035604,,Y,,,FBgn0035604,Ir64a
Ir67a,FBgn0036010,,Y,,,FBgn0036010,Ir67a
Ir67b,FBgn0036083,,Y,,,FBgn0036083,Ir67b
Ir67c,FBgn0052058,,Y,,,FBgn0052058,Ir67c
Ir68a,FBgn0036150,,Y,,,FBgn0036150,Ir68a
Ir68b,FBgn0036250,,Y,,,FBgn0036250,Ir68b
Ir75a,FBgn0036757,,Y,,,FBgn0036757,Ir75a
Ir75b,FBgn0261402,,Y,,,FBgn0261402,Ir75b
Ir75c,FBgn0261401,,Y,,,FBgn0261401,Ir75c
Ir75d,FBgn0036829,,Y,,,FBgn0036829,Ir75d
Ir76a,FBgn0260874,,Y,,,FBgn0260874,Ir76a
Ir76b,FBgn0036937,,Y,,,FBgn0036937,Ir76b
Ir7a,FBgn0029961,,Y,,,FBgn0029961,Ir7a
Ir7b,FBgn0029965,,Y,,,FBgn0029965,Ir7b
Ir7c,FBgn0029966,,Y,,,FBgn0029966,Ir7c
Ir7d,FBgn0259190,,Y,,,FBgn0259190,Ir7d
Ir7e,FBgn0259189,,Y,,,FBgn0259189,Ir7e
Ir7f,FBgn0259188,,Y,,,FBgn0259188,Ir7f
Ir7g,FBgn0029968,,Y,,,FBgn0029968,Ir7g
Ir84a,FBgn0037501,,Y,,,FBgn0037501,Ir84a
Ir85a,FBgn0037630,,Y,,,FBgn0037630,Ir85a
Ir87a,FBgn0038153,,Y,,,FBgn0038153,Ir87a
Ir8a,FBgn0052704,,Y,,,FBgn0052704,Ir8a
Ir92a,FBgn0038789,,Y,,,FBgn0038789,Ir92a
Ir93a,FBgn0259215,,Y,,,FBgn0259215,Ir93a
Ir94a,FBgn0051164,,Y,,,FBgn0051164,Ir94a
Ir94b,FBgn0051424,,Y,,,FBgn0051424,Ir94b
Ir94c,FBgn0051423,,Y,,,FBgn0051423,Ir94c
Ir94d,FBgn0259193,,Y,,,FBgn0259193,Ir94d
Ir94e,FBgn0259194,,Y,,,FBgn0259194,Ir94e
Ir94f,FBgn0051225,,Y,,,FBgn0051225,Ir94f
Ir94g,FBgn0039079,,Y,,,FBgn0039079,Ir94g
Ir94h,FBgn0039080,,Y,,,FBgn0039080,Ir94h
Irk1,FBgn0265042,,Y,,,FBgn0265042,Irk1
Irk2,FBgn0039081,,Y,,,FBgn0039081,Irk2
Irk3,FBgn0032706,,Y,,,FBgn0032706,Irk3
Itp-r83A,FBgn0010051,,Y,,,FBgn0010051,Itpr
KaiR1D,FBgn0038837,,Y,,,FBgn0038837,KaiR1D
KCNQ,FBgn0033494,,Y,,,FBgn0033494,KCNQ
Lcch3,FBgn0010240,,Y,,,FBgn0010240,Lcch3
MCU,FBgn0042185,,Y,,,FBgn0042185,MCU
MICU1,FBgn0031893,,Y,,,FBgn0031893,MICU1
Mid1,FBgn0053988,,Y,,,FBgn0053988,Mid1
na,FBgn0002917,,Y,,,FBgn0002917,na
Nach,FBgn0024319,,Y,,,FBgn0024319,Nach
nAChRalpha1,FBgn0000036,,Y,,,FBgn0000036,nAChRalpha1
nAChRalpha2,FBgn0000039,,Y,,,FBgn0000039,nAChRalpha2
nAChRalpha3,FBgn0015519,,Y,,,FBgn0015519,nAChRalpha3
nAChRalpha4,FBgn0266347,,Y,,,FBgn0266347,nAChRalpha4
nAChRalpha5,FBgn0028875,,Y,,,FBgn0028875,nAChRalpha5
nAChRalpha6,FBgn0032151,,Y,,,FBgn0032151,nAChRalpha6
nAChRalpha7,FBgn0086778,,Y,,,FBgn0086778,nAChRalpha7
nAChRbeta1,FBgn0000038,,Y,,,FBgn0000038,nAChRbeta1
nAChRbeta2,FBgn0004118,,Y,,,FBgn0004118,nAChRbeta2
nAChRbeta3,FBgn0031261,,Y,,,FBgn0031261,nAChRbeta3
NaCP60E,FBgn0085434,,Y,,,FBgn0085434,NaCP60E
nan,FBgn0036414,,Y,,,FBgn0036414,nan
Nckx30C,FBgn0028704,,Y,,,FBgn0028704,Nckx30C
Nmdar1,FBgn0010399,,Y,,,FBgn0010399,Nmdar1
Nmdar2,FBgn0053513,,Y,,,FBgn0053513,Nmdar2
nompC,FBgn0016920,,Y,,,FBgn0016920,nompC
NtR,FBgn0029147,,Y,,,FBgn0029147,NtR
ogre,FBgn0004646,,Y,,,FBgn0004646,ogre
olf186-F,FBgn0041585,,Y,,,FBgn0041585,Orai
Or10a,FBgn0030298,,Y,,,FBgn0030298,Or10a
Or13a,FBgn0030715,,Y,,,FBgn0030715,Or13a
Or19a,FBgn0041626,,Y,,,FBgn0041626,Or19a
Or19b,FBgn0062565,,Y,,,FBgn0062565,Or19b
Or1a,FBgn0029521,,Y,,,FBgn0029521,Or1a
Or22a,FBgn0026398,,Y,,,FBgn0026398,Or22a
Or22b,FBgn0026397,,Y,,,FBgn0026397,Or22b
Or22c,FBgn0026396,,Y,,,FBgn0026396,Or22c
Or23a,FBgn0026395,,Y,,,FBgn0026395,Or23a
Or24a,FBgn0026394,,Y,,,FBgn0026394,Or24a
Or2a,FBgn0023523,,Y,,,FBgn0023523,Or2a
Or30a,FBgn0032096,,Y,,,FBgn0032096,Or30a
Or33a,FBgn0026392,,Y,,,FBgn0026392,Or33a
Or33b,FBgn0026391,,Y,,,FBgn0026391,Or33b
Or33c,FBgn0026390,,Y,,,FBgn0026390,Or33c
Or35a,FBgn0028946,,Y,,,FBgn0028946,Or35a
Or42a,FBgn0033041,,Y,,,FBgn0033041,Or42a
Or42b,FBgn0033043,,Y,,,FBgn0033043,Or42b
Or43a,FBgn0026389,,Y,,,FBgn0026389,Or43a
Or43b,FBgn0026393,,Y,,,FBgn0026393,Or43b
Or45a,FBgn0033404,,Y,,,FBgn0033404,Or45a
Or45b,FBgn0033422,,Y,,,FBgn0033422,Or45b
Or46a,FBgn0026388,,Y,,,FBgn0026388,Or46a
Or47a,FBgn0026386,,Y,,,FBgn0026386,Or47a
Or47b,FBgn0026385,,Y,,,FBgn0026385,Or47b
Or49a,FBgn0033727,,Y,,,FBgn0033727,Or49a
Or49b,FBgn0028963,,Y,,,FBgn0028963,Or49b
Or56a,FBgn0034473,,Y,,,FBgn0034473,Or56a
Or59a,FBgn0026384,,Y,,,FBgn0026384,Or59a
Or59b,FBgn0034865,,Y,,,FBgn0034865,Or59b
Or59c,FBgn0034866,,Y,,,FBgn0034866,Or59c
Or63a,FBgn0035382,,Y,,,FBgn0035382,Or63a
Or65a,FBgn0041625,,Y,,,FBgn0041625,Or65a
Or65b,FBgn0041624,,Y,,,FBgn0041624,Or65b
Or65c,FBgn0041623,,Y,,,FBgn0041623,Or65c
Or67a,FBgn0036009,,Y,,,FBgn0036009,Or67a
Or67b,FBgn0036019,,Y,,,FBgn0036019,Or67b
Or67c,FBgn0036078,,Y,,,FBgn0036078,Or67c
Or67d,FBgn0036080,,Y,,,FBgn0036080,Or67d
Or69a,FBgn0041622,,Y,,,FBgn0041622,Or69a
Or71a,FBgn0036474,,Y,,,FBgn0036474,Or71a
Or74a,FBgn0036709,,Y,,,FBgn0036709,Or74a
Or7a,FBgn0030016,,Y,,,FBgn0030016,Or7a
Or82a,FBgn0041621,,Y,,,FBgn0041621,Or82a
Or83a,FBgn0037322,,Y,,,FBgn0037322,Or83a
Or83c,FBgn0037399,,Y,,,FBgn0037399,Or83c
Or85a,FBgn0037576,,Y,,,FBgn0037576,Or85a
Or85b,FBgn0037590,,Y,,,FBgn0037590,Or85b
Or85c,FBgn0037591,,Y,,,FBgn0037591,Or85c
Or85d,FBgn0037594,,Y,,,FBgn0037594,Or85d
Or85e,FBgn0026399,,Y,,,FBgn0026399,Or85e
Or85f,FBgn0037685,,Y,,,FBgn0037685,Or85f
Or88a,FBgn0038203,,Y,,,FBgn0038203,Or88a
Or92a,FBgn0038798,,Y,,,FBgn0038798,Or92a
Or94a,FBgn0039033,,Y,,,FBgn0039033,Or94a
Or94b,FBgn0039034,,Y,,,FBgn0039034,Or94b
Or98a,FBgn0039551,,Y,,,FBgn0039551,Or98a
Or98b,FBgn0039582,,Y,,,FBgn0039582,Or98b
Or9a,FBgn0030204,,Y,,,FBgn0030204,Or9a
Orco,FBgn0037324,,Y,,,FBgn0037324,Orco
Ork1,FBgn0017561,,Y,,,FBgn0017561,Ork1
ort,FBgn0003011,,Y,,,FBgn0003011,ort
pain,FBgn0060296,,Y,,,FBgn0060296,pain
para,FBgn0285944,,Y,,,FBgn0285944,para
pHCl-1,FBgn0264908,,Y,,,FBgn0264908,pHCl-1
pHCl-2,FBgn0039840,,Y,,,FBgn0039840,pHCl-2
Piezo,FBgn0264953,,Y,,,FBgn0264953,Piezo
Pkd2,FBgn0041195,,Y,,,FBgn0041195,Pkd2
pns,FBgn0035229,,Y,,,FBgn0035229,pns
porin,FBgn0004363,,Y,,,FBgn0004363,porin
Porin2,FBgn0069354,,Y,,,FBgn0069354,Porin2
ppk,FBgn0020258,,Y,,,FBgn0020258,ppk
ppk10,FBgn0065110,,Y,,,FBgn0065110,ppk10
ppk11,FBgn0065109,,Y,,,FBgn0065109,ppk11
ppk12,FBgn0034730,,Y,,,FBgn0034730,ppk12
ppk13,FBgn0053508,,Y,,,FBgn0053508,ppk13
