Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
14-3-3epsilon,FBgn0020238,NA,,,,FBgn0020238,14-3-3epsilon
14-3-3zeta,FBgn0004907,NA,,,,FBgn0004907,14-3-3zeta
140up,FBgn0010340,NA,,,,FBgn0010340,140up
26-29-p,FBgn0250848,NA,,,,FBgn0250848,26-29-p
312,FBgn0029514,NA,,,,FBgn0029514,312
Aats-ala-m,FBgn0028962,NA,,,,FBgn0028962,AlaRS-m
Aats-gly,FBgn0027088,NA,,,,FBgn0027088,GlyRS
Aats-his,FBgn0027087,NA,,,,FBgn0027087,HisRS
Aats-leu,FBgn0027085,NA,,,,FBgn0027085,LeuRS-m
Aats-met,FBgn0027083,NA,,,,FBgn0027083,MetRS-m
Aats-phe-m,FBgn0275436,NA,,,,FBgn0275436,PheRS-m
Aats-pro,FBgn0027082,NA,,,,FBgn0027082,ProRS-m
Aats-tyr-m,FBgn0035064,NA,,,,FBgn0035064,TyrRS-m
ABCB7,FBgn0035244,NA,,,,FBgn0035244,ABCB7
Acon,FBgn0010100,NA,,,,FBgn0010100,mAcon1
Acp36DE,FBgn0011559,NA,,,,FBgn0011559,Acp36DE
Acsl,FBgn0263120,NA,,,,FBgn0263120,Acsl
Act57B,FBgn0000044,NA,,,,FBgn0000044,Act57B
Act5C,FBgn0000042,NA,,,,FBgn0000042,Act5C
Act79B,FBgn0000045,NA,,,,FBgn0000045,Act79B
Act87E,FBgn0000046,NA,,,,FBgn0000046,Act87E
Act88F,FBgn0000047,NA,,,,FBgn0000047,Act88F
Actn,FBgn0000667,NA,,,,FBgn0000667,Actn
ade5,FBgn0020513,NA,,,,FBgn0020513,Paics
Adh,FBgn0000055,NA,,,,FBgn0000055,Adh
Adk2,FBgn0022708,NA,,,,FBgn0283494,Ak2
Adk3,FBgn0042094,NA,,,,FBgn0042094,Ak3
AIF,FBgn0031392,NA,,,,FBgn0031392,AIF
Alas,FBgn0020764,NA,,,,FBgn0020764,Alas
Ald,FBgn0000064,NA,,,,FBgn0000064,Ald1
Aldh,FBgn0012036,NA,,,,FBgn0012036,Aldh
Aldh-III,FBgn0010548,NA,,,,FBgn0010548,Aldh-III
alpha-Est7,FBgn0015575,NA,,,,FBgn0015575,alpha-Est7
