Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
ATPsynB,FBgn0019644,NA,,,,FBgn0019644,ATPsynB
ATPsynbeta,FBgn0010217,NA,,,,FBgn0010217,ATPsynbeta
ATPsynC,FBgn0039830,NA,,,,FBgn0039830,ATPsynC
ATPsynCF6,FBgn0016119,NA,,,,FBgn0016119,ATPsynCF6
ATPsynD,FBgn0016120,NA,,,,FBgn0016120,ATPsynD
ATPsyndelta,FBgn0028342,NA,,,,FBgn0028342,ATPsyndelta
ATPsynE,FBgn0038224,NA,,,,FBgn0038224,ATPsynE
ATPsynF,FBgn0035032,NA,,,,FBgn0035032,ATPsynF
ATPsynG,FBgn0010612,NA,,,,FBgn0010612,ATPsynG
ATPsyngamma,FBgn0020235,NA,,,,FBgn0020235,ATPsyngamma
ATPsynO,FBgn0016691,NA,,,,FBgn0016691,ATPsynO
blw,FBgn0011211,NA,,,,FBgn0011211,blw
Cap-G,FBgn0259876,NA,,,,FBgn0259876,Cap-G
COX4,FBgn0032833,NA,,,,FBgn0032833,COX4
COX5A,FBgn0019624,NA,,,,FBgn0019624,COX5A
COX5B,FBgn0031830,NA,,,,FBgn0031830,COX5B
COX6B,FBgn0031066,NA,,,,FBgn0031066,COX6B
COX7A,FBgn0040529,NA,,,,FBgn0040529,COX7A
COX7C,FBgn0040773,NA,,,,FBgn0040773,COX7C
cype,FBgn0015031,NA,,,,FBgn0015031,cype
Cyt-c1,FBgn0035600,NA,,,,FBgn0035600,Cyt-c1
levy,FBgn0034877,NA,,,,FBgn0034877,levy
ND-13A,FBgn0031684,NA,,,,FBgn0031684,ND-13A
ND-13B,FBgn0047038,NA,,,,FBgn0047038,ND-13B
ND-15,FBgn0031228,NA,,,,FBgn0031228,ND-15
ND-18,FBgn0031021,NA,,,,FBgn0031021,ND-18
ND-19,FBgn0035046,NA,,,,FBgn0035046,ND-19
ND-20,FBgn0030718,NA,,,,FBgn0030718,ND-20
ND-23,FBgn0017567,NA,,,,FBgn0017567,ND-23
ND-24,FBgn0030853,NA,,,,FBgn0030853,ND-24
ND-30,FBgn0266582,NA,,,,FBgn0266582,ND-30
ND-39,FBgn0037001,NA,,,,FBgn0037001,ND-39
ND-42,FBgn0019957,NA,,,,FBgn0019957,ND-42
ND-49,FBgn0039909,NA,,,,FBgn0039909,ND-49
ND-51,FBgn0031771,NA,,,,FBgn0031771,ND-51
ND-75,FBgn0017566,NA,,,,FBgn0017566,ND-75
ND-ACP,FBgn0011361,NA,,,,FBgn0011361,ND-ACP
ND-AGGG,FBgn0058002,NA,,,,FBgn0058002,ND-AGGG
ND-ASHI,FBgn0029888,NA,,,,FBgn0029888,ND-ASHI
ND-B12,FBgn0034645,NA,,,,FBgn0034645,ND-B12
ND-B14,FBgn0033570,NA,,,,FBgn0033570,ND-B14
ND-B14.5A,FBgn0025839,NA,,,,FBgn0025839,ND-B14.5A
ND-B14.5B,FBgn0031505,NA,,,,FBgn0031505,ND-B14.5B
ND-B14.7,FBgn0034576,NA,,,,FBgn0034576,ND-B14.7
ND-B15,FBgn0033961,NA,,,,FBgn0033961,ND-B15
ND-B16.6,FBgn0029868,NA,,,,FBgn0029868,ND-B16.6
ND-B17,FBgn0001989,NA,,,,FBgn0001989,ND-B17
ND-B17.2,FBgn0031436,NA,,,,FBgn0031436,ND-B17.2
ND-B18,FBgn0030605,NA,,,,FBgn0030605,ND-B18
ND-B22,FBgn0032511,NA,,,,FBgn0032511,ND-B22
ND-B8,FBgn0040705,NA,,,,FBgn0040705,ND-B8
ND-MLRQ,FBgn0052230,NA,,,,FBgn0052230,ND-MLRQ
ND-MNLL,FBgn0029971,NA,,,,FBgn0029971,ND-MNLL
ND-PDSW,FBgn0021967,NA,,,,FBgn0021967,ND-PDSW
ND-SGDH,FBgn0011455,NA,,,,FBgn0011455,ND-SGDH
ox,FBgn0011227,NA,,,,FBgn0011227,ox
RFeSP,FBgn0021906,NA,,,,FBgn0021906,RFeSP
SdhA,FBgn0261439,NA,,,,FBgn0261439,SdhA
SdhB,FBgn0014028,NA,,,,FBgn0014028,SdhB
SdhC,FBgn0037873,NA,,,,FBgn0037873,SdhC
SdhD,FBgn0039112,NA,,,,FBgn0039112,SdhD
sun,FBgn0014391,NA,,,,FBgn0014391,sun
UQCR-11,FBgn0260008,NA,,,,FBgn0260008,UQCR-11
UQCR-14,FBgn0030733,NA,,,,FBgn0030733,UQCR-14
UQCR-6.4,FBgn0034245,NA,,,,FBgn0034245,UQCR-6.4
UQCR-C1,FBgn0038271,NA,,,,FBgn0038271,UQCR-C1
UQCR-C2,FBgn0250814,NA,,,,FBgn0250814,UQCR-C2
UQCR-Q,FBgn0036728,NA,,,,FBgn0036728,UQCR-Q
