Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
Acox57D-d,FBgn0034629,NA,,,,FBgn0034629,Acox57D-d
Acox57D-p,FBgn0034628,NA,,,,FBgn0034628,Acox57D-p
Acsl,FBgn0263120,NA,,,,FBgn0263120,Acsl
awd,FBgn0000150,NA,,,,FBgn0000150,awd
Best2,FBgn0035696,NA,,,,FBgn0035696,Best2
Cat,FBgn0000261,NA,,,,FBgn0000261,Cat
Ccs,FBgn0010531,NA,,,,FBgn0010531,Ccs
Cdc7,FBgn0028360,NA,,,,FBgn0028360,Cdc7
CG10194,FBgn0032790,NA,,,,FBgn0032790,CG10194
CG10195,FBgn0032787,NA,,,,FBgn0032787,CG10195
CG10253,FBgn0033983,NA,,,,FBgn0033983,ADPS
CG10268,FBgn0032811,NA,,,,FBgn0032811,CG10268
CG10399,FBgn0031877,NA,,,,FBgn0031877,Hmgcl
CG10476,FBgn0034426,NA,,,,FBgn0034426,AANATL5
CG10672,FBgn0035588,NA,,,,FBgn0035588,CG10672
CG11077,FBgn0039930,NA,,,,FBgn0039930,CG11077
CG11095,FBgn0030528,NA,,,,FBgn0030528,CG11095
CG11208,FBgn0034488,NA,,,,FBgn0034488,Hacl
CG11236,FBgn0031860,NA,,,,FBgn0031860,CG11236
CG11284,FBgn0030056,NA,,,,FBgn0030056,CAH3
CG11309,FBgn0037070,NA,,,,FBgn0037070,CG11309
CG11737,FBgn0037592,NA,,,,FBgn0037592,CG11737
CG12268,FBgn0039131,NA,,,,FBgn0039131,CG12268
CG12338,FBgn0033543,NA,,,,FBgn0033543,CG12338
CG12355,FBgn0040805,NA,,,,FBgn0040805,CG12355
CG12428,FBgn0039543,NA,,,,FBgn0039543,CROT
CG12512,FBgn0031703,NA,,,,FBgn0031703,CG12512
CG12541,FBgn0029930,NA,,,,FBgn0029930,CG12541
CG1315,FBgn0026565,NA,,,,FBgn0026565,Ass
CG13827,FBgn0039068,NA,,,,FBgn0039068,CG13827
CG13890,FBgn0035169,NA,,,,FBgn0035169,Dci
CG14688,FBgn0037819,NA,,,,FBgn0037819,CG14688
CG14777,FBgn0026872,NA,,,,FBgn0026872,CG14777
CG14778,FBgn0029580,NA,,,,FBgn0029580,CG14778
CG15820,FBgn0035312,NA,,,,FBgn0035312,CG15820
CG15879,FBgn0035309,NA,,,,FBgn0035309,CG15879
CG1662,FBgn0030481,NA,,,,FBgn0030481,CG1662
CG17018,FBgn0039972,NA,,,,FBgn0039972,Marf1
CG17221,FBgn0031500,NA,,,,FBgn0031500,CG17221
CG17544,FBgn0032775,NA,,,,FBgn0032775,CG17544
CG17597,FBgn0032715,NA,,,,FBgn0032715,CG17597
CG18003,FBgn0061356,NA,,,,FBgn0061356,CG18003
CG18094,FBgn0032791,NA,,,,FBgn0032791,CG18094
CG18155,FBgn0029945,NA,,,,FBgn0029945,CG18155
CG18606,FBgn0034428,NA,,,,FBgn0034428,AANATL6
CG1882,FBgn0033226,NA,,,,FBgn0033226,puml
CG2022,FBgn0037292,NA,,,,FBgn0037292,plh
CG2316,FBgn0039890,NA,,,,FBgn0039890,ABCD
CG30427,FBgn0043792,NA,,,,FBgn0043792,CG30427
CG30463,FBgn0050463,NA,,,,FBgn0050463,Pgant9
CG31259,FBgn0051259,NA,,,,FBgn0051259,CG31259
CG31454,FBgn0051454,NA,,,,FBgn0051454,CG31454
CG31548,FBgn0051548,NA,,,,FBgn0051548,CG31548
CG32103,FBgn0052103,NA,,,,FBgn0052103,SCaMC
CG32392,FBgn0052392,NA,,,,FBgn0052392,Rsph3
CG33474,FBgn0053474,NA,,,,FBgn0053474,CG33474
CG33671,FBgn0061359,NA,,,,FBgn0061359,CG33671
CG3394,FBgn0034999,NA,,,,FBgn0034999,Fatp3
CG3589,FBgn0035065,NA,,,,FBgn0035065,CG3589
CG3603,FBgn0029648,NA,,,,FBgn0029648,CG3603
CG3699,FBgn0040349,NA,,,,FBgn0040349,CG3699
CG3961,FBgn0036821,NA,,,,FBgn0036821,CG3961
CG44252,FBgn0265187,NA,,,,FBgn0265187,Fatp2
CG44253,FBgn0265188,NA,,,,FBgn0265188,CG44253
CG4586,FBgn0029924,NA,,,,FBgn0029924,CG4586
CG4860,FBgn0037999,NA,,,,FBgn0037999,CG4860
CG5009,FBgn0027572,NA,,,,FBgn0027572,ACOX1
CG5065,FBgn0034145,NA,,,,FBgn0034145,CG5065
