Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
18w,FBgn0004364,NA,,,,FBgn0287775,18w
5-HT1A,FBgn0004168,NA,,,,FBgn0004168,5-HT1A
5-HT1B,FBgn0263116,NA,,,,FBgn0263116,5-HT1B
5-HT2A,FBgn0087012,NA,,,,FBgn0087012,5-HT2A
5-HT2B,FBgn0261929,NA,,,,FBgn0261929,5-HT2B
5-HT7,FBgn0004573,NA,,,,FBgn0004573,5-HT7
AdipoR,FBgn0038984,NA,,,,FBgn0038984,AdipoR
AdoR,FBgn0039747,NA,,,,FBgn0039747,AdoR
AkhR,FBgn0025595,NA,,,,FBgn0025595,AkhR
Alk,FBgn0040505,NA,,,,FBgn0040505,Alk
Ama,FBgn0000071,NA,,,,FBgn0000071,Ama
AMPKalpha,FBgn0023169,NA,,,,FBgn0023169,AMPKalpha
aos,FBgn0004569,NA,,,,FBgn0004569,aos
arr,FBgn0000119,NA,,,,FBgn0000119,arr
AstA-R1,FBgn0266429,NA,,,,FBgn0266429,AstA-R1
AstA-R2,FBgn0039595,NA,,,,FBgn0039595,AstA-R2
AstC-R1,FBgn0036790,NA,,,,FBgn0036790,AstC-R1
AstC-R2,FBgn0036789,NA,,,,FBgn0036789,AstC-R2
b6,FBgn0024897,NA,,,,FBgn0024897,b6
babo,FBgn0011300,NA,,,,FBgn0011300,babo
Bet1,FBgn0260857,NA,,,,FBgn0260857,Bet1
boi,FBgn0040388,NA,,,,FBgn0040388,boi
boss,FBgn0000206,NA,,,,FBgn0000206,boss
btl,FBgn0005592,NA,,,,FBgn0285896,btl
Cad96Ca,FBgn0022800,NA,,,,FBgn0022800,Cad96Ca
CadN,FBgn0015609,NA,,,,FBgn0015609,CadN
CadN2,FBgn0262018,NA,,,,FBgn0262018,CadN2
CapaR,FBgn0037100,NA,,,,FBgn0037100,CapaR
Cas,FBgn0022213,NA,,,,FBgn0022213,Cse1
CCAP-R,FBgn0039396,NA,,,,FBgn0039396,CCAP-R
CCHa1-R,FBgn0050106,NA,,,,FBgn0050106,CCHa1-R
CCHa2-R,FBgn0033058,NA,,,,FBgn0033058,CCHa2-R
CCKLR-17D1,FBgn0259231,NA,,,,FBgn0259231,CCKLR-17D1
CCKLR-17D3,FBgn0030954,NA,,,,FBgn0030954,CCKLR-17D3
Cdc7,FBgn0028360,NA,,,,FBgn0028360,Cdc7
CG10345,FBgn0027562,NA,,,,FBgn0027562,CG10345
CG10481,FBgn0032827,NA,,,,FBgn0032827,CG10481
CG10483,FBgn0035649,NA,,,,FBgn0035649,CG10483
CG10702,FBgn0032752,NA,,,,FBgn0032752,CG10702
CG10738,FBgn0036368,NA,,,,FBgn0036368,CG10738
CG11155,FBgn0039927,NA,,,,FBgn0039927,CG11155
CG11318,FBgn0039818,NA,,,,FBgn0039818,CG11318
CG11576,FBgn0039882,NA,,,,FBgn0039882,Rift
CG12121,FBgn0030109,NA,,,,FBgn0030109,CG12121
CG12290,FBgn0039419,NA,,,,FBgn0039419,CG12290
CG12796,FBgn0029909,NA,,,,FBgn0029909,mAChR-C
CG13229,FBgn0033579,NA,,,,FBgn0033579,CG13229
CG1339,FBgn0033202,NA,,,,FBgn0033202,CG1339
CG13409,FBgn0038926,NA,,,,FBgn0038926,CG13409
CG13575,FBgn0034996,NA,,,,FBgn0034996,CG13575
CG13579,FBgn0035010,NA,,,,FBgn0035010,CG13579
CG13995,FBgn0031770,NA,,,,FBgn0031770,CG13995
