Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
a10,FBgn0011293,NA,,,,FBgn0011293,a10
a5,FBgn0011294,NA,,,,FBgn0011294,a5
Acer,FBgn0016122,NA,,,,FBgn0016122,Acer
Acp24A4,FBgn0051779,NA,,,,FBgn0051779,Acp24A4
Acp26Aa,FBgn0002855,NA,,,,FBgn0002855,Acp26Aa
Acp26Ab,FBgn0002856,NA,,,,FBgn0002856,Acp26Ab
Acp29AB,FBgn0015583,NA,,,,FBgn0015583,Acp29AB
Acp32CD,FBgn0023415,NA,,,,FBgn0023415,Acp32CD
Acp33A,FBgn0267327,NA,,,,FBgn0267327,Acp33A
Acp36DE,FBgn0011559,NA,,,,FBgn0011559,Acp36DE
Acp53C14a,FBgn0034152,NA,,,,FBgn0034152,Acp53C14a
Acp53C14b,FBgn0034153,NA,,,,FBgn0034153,Acp53C14b
Acp53C14c,FBgn0053530,NA,,,,FBgn0053530,Acp53C14c
Acp53Ea,FBgn0015584,NA,,,,FBgn0015584,Acp53Ea
Acp62F,FBgn0020509,NA,,,,FBgn0020509,Acp62F
Acp63F,FBgn0015585,NA,,,,FBgn0015585,Acp63F
Acp76A,FBgn0015586,NA,,,,FBgn0015586,Acp76A
Acp95EF,FBgn0002863,NA,,,,FBgn0002863,Acp95EF
Acp98AB,FBgn0263597,NA,,,,FBgn0263597,Acp98AB
Actbeta,FBgn0024913,NA,,,,FBgn0024913,Actbeta
AdamTS-A,FBgn0038341,NA,,,,FBgn0286071,AdamTS-A
Adgf-A,FBgn0036752,NA,,,,FBgn0036752,Adgf-A
Adgf-A2,FBgn0043025,NA,,,,FBgn0043025,Adgf-A2
Adgf-B,FBgn0036751,NA,,,,FBgn0036751,Adgf-B
Adgf-C,FBgn0038173,NA,,,,FBgn0038173,Adgf-C
Adgf-D,FBgn0038172,NA,,,,FBgn0038172,Adgf-D
Adgf-E,FBgn0033952,NA,,,,FBgn0033952,Adgf-E
Ag5r,FBgn0015010,NA,,,,FBgn0015010,Ag5r
Ag5r2,FBgn0020508,NA,,,,FBgn0020508,Ag5r2
Akh,FBgn0004552,NA,,,,FBgn0004552,Akh
alphaTry,FBgn0003863,NA,,,,FBgn0003863,alphaTry
amon,FBgn0023179,NA,,,,FBgn0023179,amon
Amyrel,FBgn0020506,NA,,,,FBgn0020506,Amyrel
ana,FBgn0011746,NA,,,,FBgn0011746,ana
