Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
14-3-3zeta,FBgn0004907,Maybe TF,,,,FBgn0004907,14-3-3zeta
ab,FBgn0264442,DNA-binding with transcription factor activity,zf-C2H2,Medium,TFscore=6,FBgn0264442,ab
abd-A,FBgn0000014,DNA-binding with transcription factor activity,Homeobox,High,TFscore=1,FBgn0000014,abd-A
Abd-B,FBgn0000015,DNA-binding with transcription factor activity,Homeobox,High,TFscore=1,FBgn0000015,Abd-B
abo,FBgn0000018,Chromatin regulation,,,,FBgn0000018,abo
ac,FBgn0000022,DNA-binding with transcription factor activity,HLH,High,TFscore=2,FBgn0000022,ac
Acf1,FBgn0027620,DNA-binding with transcription factor activity,,High,,FBgn0027620,Acf
achi,FBgn0033749,DNA-binding with transcription factor activity,Homeobox,High,TFscore=5,FBgn0033749,achi
acj6,FBgn0000028,DNA-binding with transcription factor activity,Homeobox|Pou,High,TFscore=1,FBgn0000028,acj6
Ada2a,FBgn0263738,DNA-binding with transcription factor activity,,Medium,,FBgn0263738,Ada2a
Ada2b,FBgn0037555,DNA-binding with transcription factor activity,Myb_DNA-binding,Medium,TFscore=6,FBgn0037555,Ada2b
ADD1,FBgn0026573,DNA-binding with transcription factor activity,MADF,,TFscore=NA,FBgn0026573,ADD1
Adf1,FBgn0000054,DNA-binding with transcription factor activity,BESS|MADF,High,TFscore=1,FBgn0284249,Adf1
Aef1,FBgn0005694,DNA-binding with transcription factor activity,zf-C2H2,High,TFscore=1,FBgn0005694,Aef1
al,FBgn0000061,DNA-binding with transcription factor activity,Homeobox,High,TFscore=5,FBgn0000061,al
Alh,FBgn0261238,DNA-binding with transcription factor activity,,High,,FBgn0261238,Alh
alien,FBgn0013746,Co-factor,,,,FBgn0013746,alien
aly,FBgn0004372,Chromatin regulation,,,,FBgn0004372,aly
amos,FBgn0003270,DNA-binding with transcription factor activity,HLH,High,TFscore=5,FBgn0003270,amos
Antp,FBgn0260642,DNA-binding with transcription factor activity,Homeobox,High,TFscore=1,FBgn0260642,Antp
aop,FBgn0000097,DNA-binding with transcription factor activity,Ets,High,TFscore=2,FBgn0000097,aop
ap,FBgn0267978,DNA-binding with transcription factor activity,Homeobox,High,TFscore=1,FBgn0267978,ap
apt,FBgn0015903,DNA-binding with transcription factor activity,SANT,High,TFscore=1,FBgn0015903,apt
ara,FBgn0015904,DNA-binding with transcription factor activity,Homeobox,High,TFscore=1,FBgn0015904,ara
Arc42,FBgn0038742,Co-factor,,,,FBgn0038742,Arc42
Asciz,FBgn0035407,DNA-binding with transcription factor activity,zf-C2H2,Medium,TFscore=6,FBgn0035407,Asciz
ase,FBgn0000137,DNA-binding with transcription factor activity,HLH,High,TFscore=2,FBgn0000137,ase
ash1,FBgn0005386,DNA-binding with transcription factor activity,AT_hook,,TFscore=NA,FBgn0005386,ash1
ash2,FBgn0000139,Chromatin regulation,,,,FBgn0000139,ash2
Asx,FBgn0261823,Chromatin regulation,,,,FBgn0261823,Asx
Atac1,FBgn0031876,DNA-binding with transcription factor activity,,Medium,,FBgn0031876,Atac1
Atac2,FBgn0032691,Maybe TF,,,,FBgn0032691,Atac2
Atac3,FBgn0052343,DNA-binding with transcription factor activity,,,,FBgn0052343,Atac3
ATbp,FBgn0039946,DNA-binding with transcription factor activity,zf-C2H2,High,TFscore=4,FBgn0039946,ATbp
Atf-2,FBgn0265193,DNA-binding with transcription factor activity,bZIP,High,TFscore=3,FBgn0265193,Atf-2
Atf3,FBgn0028550,DNA-binding with transcription factor activity,bZIP,Medium,TFscore=6,FBgn0028550,Atf3
Atf6,FBgn0033010,DNA-binding with transcription factor activity,bZIP,Medium,TFscore=6,FBgn0033010,Atf6
ato,FBgn0010433,DNA-binding with transcription factor activity,HLH,High,TFscore=2,FBgn0010433,ato
Awh,FBgn0013751,DNA-binding with transcription factor activity,Homeobox,High,TFscore=5,FBgn0013751,Awh
az2,FBgn0025185,DNA-binding with transcription factor activity,zf-C2H2,Medium,TFscore=6,FBgn0025185,az2
B-H1,FBgn0011758,DNA-binding with transcription factor activity,Homeobox,High,TFscore=1,FBgn0011758,B-H1
B-H2,FBgn0004854,DNA-binding with transcription factor activity,Homeobox,High,TFscore=1,FBgn0004854,B-H2
bab1,FBgn0004870,DNA-binding with transcription factor activity,HTH_psq,High,TFscore=5,FBgn0004870,bab1
bab2,FBgn0025525,DNA-binding with transcription factor activity,HTH_psq,High,TFscore=5,FBgn0025525,bab2
bap,FBgn0004862,DNA-binding with transcription factor activity,Homeobox,High,TFscore=1,FBgn0004862,bap
Bap170,FBgn0042085,DNA-binding with transcription factor activity,ARID,Medium,TFscore=6,FBgn0042085,Bap170
Bap55,FBgn0025716,Co-factor,,,,FBgn0025716,Bap55
Bap60,FBgn0025463,DNA-binding with transcription factor activity,,High,,FBgn0025463,Bap60
bbx,FBgn0024251,DNA-binding with transcription factor activity,HMG_box,Medium,TFscore=6,FBgn0024251,bbx
bcd,FBgn0000166,DNA-binding with transcription factor activity,Homeobox,Medium,TFscore=6,FBgn0000166,bcd
BEAF-32,FBgn0015602,DNA-binding with transcription factor activity,BESS|zf-BED,High,TFscore=5,FBgn0015602,BEAF-32
betaNACtes3,FBgn0052601,DNA-binding with transcription factor activity,,,,FBgn0052601,betaNACtes3
betaNACtes6,FBgn0052598,Maybe TF,,,,FBgn0052598,betaNACtes6
Bgb,FBgn0013753,Co-factor,CBF-beta,,TFscore=NA,FBgn0013753,Bgb
bi,FBgn0000179,DNA-binding with transcription factor activity,T-box,High,TFscore=2,FBgn0000179,bi
bic,FBgn0000181,DNA-binding with transcription factor activity,,,,FBgn0000181,bic
bigmax,FBgn0039509,DNA-binding with transcription factor activity,HLH,High,TFscore=5,FBgn0039509,bigmax
bin,FBgn0045759,DNA-binding with transcription factor activity,Fork_head,High,TFscore=1,FBgn0045759,bin
bip2,FBgn0026262,DNA-binding with transcription factor activity,,,,FBgn0026262,Taf3
Bka,FBgn0010520,Chromatin regulation,,,,FBgn0010520,Bka
bl,FBgn0267791,Chromatin regulation,,,,FBgn0267791,HnRNP-K
Blimp-1,FBgn0035625,DNA-binding with transcription factor activity,zf-C2H2,High,TFscore=1,FBgn0035625,Blimp-1
Blos1,FBgn0050077,DNA-binding with transcription factor activity,,Medium,,FBgn0050077,Blos1
bon,FBgn0023097,Co-factor,,,,FBgn0023097,bon
bowl,FBgn0004893,DNA-binding with transcription factor activity,zf-C2H2,Medium,TFscore=6,FBgn0004893,bowl
br,FBgn0000210,DNA-binding with transcription factor activity,zf-C2H2,High,TFscore=1,FBgn0283451,br
Br140,FBgn0033155,DNA-binding with transcription factor activity,zf-C2H2,Medium,TFscore=6,FBgn0033155,Br140
brat,FBgn0010300,Maybe TF,zf-B_box,,TFscore=NA,FBgn0010300,brat
Brd8,FBgn0039654,DNA-binding with transcription factor activity,,Medium,,FBgn0039654,Brd8
Brf,FBgn0038499,DNA-binding with transcription factor activity,,,,FBgn0038499,Brf
brk,FBgn0024250,DNA-binding with transcription factor activity,BrkDBD,High,TFscore=1,FBgn0024250,brk
brm,FBgn0000212,DNA-binding with transcription factor activity,,,,FBgn0000212,brm
Bro,FBgn0013755,Co-factor,CBF-beta,,TFscore=NA,FBgn0013755,Bro
brp,FBgn0259246,DNA-binding with transcription factor activity,,Medium,,FBgn0259246,brp
bs,FBgn0004101,DNA-binding with transcription factor activity,SRF-TF,Medium,TFscore=6,FBgn0004101,bs
bsh,FBgn0000529,DNA-binding with transcription factor activity,Homeobox,High,TFscore=5,FBgn0000529,bsh
BtbVII,FBgn0263108,DNA-binding with transcription factor activity,HTH_psq,,TFscore=6,FBgn0263108,BtbVII
btd,FBgn0000233,DNA-binding with transcription factor activity,zf-C2H2,High,TFscore=4,FBgn0000233,btd
Bteb2,FBgn0025679,DNA-binding with transcription factor activity,zf-C2H2,Medium,TFscore=6,FBgn0025679,Klf15
btn,FBgn0014949,DNA-binding with transcription factor activity,Homeobox,High,TFscore=5,FBgn0014949,btn
Bug22,FBgn0032248,DNA-binding with transcription factor activity,,,,FBgn0032248,Bug22
bun,FBgn0259176,DNA-binding with transcription factor activity,TSC22,,TFscore=NA,FBgn0259176,bun
Bx,FBgn0265598,Maybe TF,,,,FBgn0265598,Bx
