Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
ABCB7,FBgn0035244,ATP-Dependent,The ATP-binding Cassette (ABC) Superfamily,,,FBgn0035244,ABCB7
Amt,FBgn0038309,Ion Channels,The Ammonia Transporter Channel (Amt) Family,,,FBgn0038309,Amt
Ant2,FBgn0025111,Secondary Transporter,The Mitochondrial Carrier (MC) Family,,,FBgn0025111,Ant2
AnxB10,FBgn0000084,Ion Channels,The Annexin (Annexin) Family,,,FBgn0000084,AnxB10
AnxB11,FBgn0030749,Ion Channels,The Annexin (Annexin) Family,,,FBgn0030749,AnxB11
AnxB9,FBgn0000083,Ion Channels,The Annexin (Annexin) Family,,,FBgn0000083,AnxB9
aralar1,FBgn0028646,Secondary Transporter,The Mitochondrial Carrier (MC) Family,,,FBgn0028646,aralar1
Atet,FBgn0020762,ATP-Dependent,The ATP-binding Cassette (ABC) Superfamily,,,FBgn0020762,Atet
ATP7,FBgn0030343,ATP-Dependent,The P-type ATPase (P-ATPase) Superfamily,,,FBgn0030343,ATP7
ATP8B,FBgn0037989,ATP-Dependent,The P-type ATPase (P-ATPase) Superfamily,,,FBgn0037989,ATP8B
Atpalpha,FBgn0002921,ATP-Dependent,The P-type ATPase (P-ATPase) Superfamily,,,FBgn0002921,Atpalpha
ATPsynB,FBgn0019644,ATP-Dependent,"The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily",,,FBgn0019644,ATPsynB
ATPsynbeta,FBgn0010217,ATP-Dependent,"The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily",,,FBgn0010217,ATPsynbeta
ATPsynbetaL,FBgn0036568,ATP-Dependent,"The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily",,,FBgn0036568,ATPsynbetaL
ATPsynC,FBgn0039830,ATP-Dependent,"The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily",,,FBgn0039830,ATPsynC
ATPsynD,FBgn0016120,ATP-Dependent,"The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily",,,FBgn0016120,ATPsynD
ATPsyndelta,FBgn0028342,ATP-Dependent,"The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily",,,FBgn0028342,ATPsyndelta
ATPsynepsilonL,FBgn0051477,ATP-Dependent,"The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily",,,FBgn0051477,ATPsynepsilonL
ATPsyngamma,FBgn0020235,ATP-Dependent,"The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily",,,FBgn0020235,ATPsyngamma
ATPsynO,FBgn0016691,ATP-Dependent,"The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily",,,FBgn0016691,ATPsynO
att-ORFA,FBgn0067783,Secondary Transporter,The Mitochondrial Carrier (MC) Family,,,FBgn0067783,DPCoAC
bdg,FBgn0034049,Secondary Transporter,The Neurotransmitter:Sodium Symporter (NSS) Family,,,FBgn0034049,bdg
Best1,FBgn0040238,Ion Channels,The Anion Channel-forming Bestrophin (Bestrophin) Family,,,FBgn0040238,Best1
Best2,FBgn0035696,Ion Channels,The Anion Channel-forming Bestrophin (Bestrophin) Family,,,FBgn0035696,Best2
Best3,FBgn0036492,Ion Channels,The Anion Channel-forming Bestrophin (Bestrophin) Family,,,FBgn0036492,Best3
Best4,FBgn0036491,Ion Channels,The Anion Channel-forming Bestrophin (Bestrophin) Family,,,FBgn0036491,Best4
bib,FBgn0000180,Ion Channels,The Major Intrinsic Protein (MIP) Family,,,FBgn0000180,bib
blot,FBgn0027660,Secondary Transporter,The Neurotransmitter:Sodium Symporter (NSS) Family,,,FBgn0027660,blot
blw,FBgn0011211,ATP-Dependent,"The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily",,,FBgn0011211,blw
Bmcp,FBgn0036199,Secondary Transporter,The Mitochondrial Carrier (MC) Family,,,FBgn0036199,Bmcp
brv1,FBgn0036874,Ion Channels,The Polycystin Cation Channel (PCC) Family,,,FBgn0036874,brv1
brv2,FBgn0036712,Ion Channels,The Polycystin Cation Channel (PCC) Family,,,FBgn0036712,brv2
brv3,FBgn0040333,Ion Channels,The Polycystin Cation Channel (PCC) Family,,,FBgn0040333,brv3
bw,FBgn0000241,ATP-Dependent,The ATP-binding Cassette (ABC) Superfamily,,,FBgn0000241,bw
Ca-alpha1D,FBgn0001991,Ion Channels,The Voltage-gated Ion Channel (VIC) Superfamily,,,FBgn0001991,Ca-alpha1D
Ca-alpha1T,FBgn0264386,Ion Channels,The Voltage-gated Ion Channel (VIC) Superfamily,,,FBgn0264386,Ca-alpha1T
Ca-P60A,FBgn0263006,ATP-Dependent,The P-type ATPase (P-ATPase) Superfamily,,,FBgn0263006,SERCA
cac,FBgn0263111,Ion Channels,The Voltage-gated Ion Channel (VIC) Superfamily,,,FBgn0263111,cac
Calx,FBgn0013995,Secondary Transporter,The Ca2+:Cation Antiporter (CaCA) Family,,,FBgn0013995,Calx
CG10019,FBgn0031568,Secondary Transporter,The Major Facilitator Superfamily (MFS),,,FBgn0031568,CG10019
CG10226,FBgn0035695,ATP-Dependent,The ATP-binding Cassette (ABC) Superfamily,,,FBgn0035695,CG10226
CG10413,FBgn0032689,Secondary Transporter,The Cation-Chloride Cotransporter (CCC) Family,,,FBgn0032689,CG10413
CG10444,FBgn0034494,Secondary Transporter,The Solute:Sodium Symporter (SSS) Family,,,FBgn0034494,CG10444
CG10486,FBgn0035647,Secondary Transporter,The Major Facilitator Superfamily (MFS),,,FBgn0035647,CG10486
CG10505,FBgn0034612,ATP-Dependent,The ATP-binding Cassette (ABC) Superfamily,,,FBgn0034612,CG10505
CG10804,FBgn0029663,Secondary Transporter,The Neurotransmitter:Sodium Symporter (NSS) Family,,,FBgn0029663,CG10804
CG10864,FBgn0038621,Ion Channels,The Voltage-gated Ion Channel (VIC) Superfamily,,,FBgn0038621,CG10864
CG1090,FBgn0037238,Secondary Transporter,The Ca2+:Cation Antiporter (CaCA) Family,,,FBgn0037238,CG1090
CG10960,FBgn0036316,Secondary Transporter,The Major Facilitator Superfamily (MFS),,,FBgn0036316,CG10960
CG11069,FBgn0039244,ATP-Dependent,The ATP-binding Cassette (ABC) Superfamily,,,FBgn0039244,CG11069
