Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
ab,FBgn0264442,NA,,,,FBgn0264442,ab
Acf1,FBgn0027620,NA,,,,FBgn0027620,Acf
ago,FBgn0041171,NA,,,,FBgn0041171,ago
Alh,FBgn0261238,NA,,,,FBgn0261238,Alh
Aos1,FBgn0029512,NA,,,,FBgn0029512,Aos1
Apc,FBgn0015589,NA,,,,FBgn0015589,Apc
APC10,FBgn0034231,NA,,,,FBgn0034231,APC10
Apc2,FBgn0026598,NA,,,,FBgn0026598,Apc2
APP-BP1,FBgn0261112,NA,,,,FBgn0261112,APP-BP1
ari-1,FBgn0017418,NA,,,,FBgn0017418,ari-1
ari-2,FBgn0025186,NA,,,,FBgn0025186,ari-2
ash1,FBgn0005386,NA,,,,FBgn0005386,ash1
Atg10,FBgn0040780,NA,,,,FBgn0040780,Atg10
Atg12,FBgn0036255,NA,,,,FBgn0036255,Atg12
Atg3,FBgn0036813,NA,,,,FBgn0036813,Atg3
Atg5,FBgn0029943,NA,,,,FBgn0029943,Atg5
Atg6,FBgn0264325,NA,,,,FBgn0264325,Atg6
Atg7,FBgn0034366,NA,,,,FBgn0034366,Atg7
Atg9,FBgn0034110,NA,,,,FBgn0034110,Atg9
bab1,FBgn0004870,NA,,,,FBgn0004870,bab1
bab2,FBgn0025525,NA,,,,FBgn0025525,bab2
ben,FBgn0000173,NA,,,,FBgn0000173,ben
bip2,FBgn0026262,NA,,,,FBgn0026262,Taf3
bon,FBgn0023097,NA,,,,FBgn0023097,bon
br,FBgn0000210,NA,,,,FBgn0283451,br
Br140,FBgn0033155,NA,,,,FBgn0033155,Br140
Bre1,FBgn0086694,NA,,,,FBgn0086694,Bre1
Bruce,FBgn0266717,NA,,,,FBgn0266717,Bruce
BTBD9,FBgn0030228,NA,,,,FBgn0030228,BTBD9
BtbVII,FBgn0263108,NA,,,,FBgn0263108,BtbVII
calypso,FBgn0262166,NA,,,,FBgn0262166,calypso
casp,FBgn0034068,NA,,,,FBgn0034068,casp
Cbl,FBgn0020224,NA,,,,FBgn0020224,Cbl
cbx,FBgn0011241,NA,,,,FBgn0285962,CG46338
Cdc23,FBgn0032863,NA,,,,FBgn0032863,Cdc23
Cfp1,FBgn0030121,NA,,,,FBgn0030121,Cfp1
CG10254,FBgn0027512,NA,,,,FBgn0027512,CG10254
CG10465,FBgn0033017,NA,,,,FBgn0033017,CG10465
CG10508,FBgn0037060,NA,,,,FBgn0037060,CG10508
CG10694,FBgn0039147,NA,,,,FBgn0039147,CG10694
CG10752,FBgn0036325,NA,,,,FBgn0036325,CG10752
CG10761,FBgn0030015,NA,,,,FBgn0030015,CG10761
CG10801,FBgn0029660,NA,,,,FBgn0029660,CG10801
CG10862,FBgn0035455,NA,,,,FBgn0035455,CG10862
CG10916,FBgn0034312,NA,,,,FBgn0034312,CG10916
CG11023,FBgn0031208,NA,,,,FBgn0031208,CR11023
CG1103,FBgn0037235,NA,,,,FBgn0037235,CG1103
CG11044,FBgn0034484,NA,,,,FBgn0034484,CG11044
CG11261,FBgn0036332,NA,,,,FBgn0036332,Cul6
CG11275,FBgn0034706,NA,,,,FBgn0034706,CG11275
CG11321,FBgn0031857,NA,,,,FBgn0031857,LUBEL
CG11700,FBgn0029856,NA,,,,FBgn0029856,CG11700
CG11714,FBgn0036170,NA,,,,FBgn0036170,CG11714
CG1172,FBgn0264712,NA,,,,FBgn0264712,CG1172
CG11982,FBgn0037653,NA,,,,FBgn0037653,Iru
CG12024,FBgn0035283,NA,,,,FBgn0035283,CG12024
CG12099,FBgn0035232,NA,,,,FBgn0035232,CG12099
CG12236,FBgn0029822,NA,,,,FBgn0029822,CG12236
CG12362,FBgn0036082,NA,,,,FBgn0036082,CG12362
CG12402,FBgn0038202,NA,,,,FBgn0038202,CG12402
CG12692,FBgn0029703,NA,,,,FBgn0029703,CG12692
CG12717,FBgn0030420,NA,,,,FBgn0030420,CG12717
CG12725,FBgn0030483,NA,,,,FBgn0030483,CG12725
CG12857,FBgn0033963,NA,,,,FBgn0033963,CG12857
CG13025,FBgn0036660,NA,,,,FBgn0287696,mus302
CG13090,FBgn0032054,NA,,,,FBgn0032054,Uba4
CG1317,FBgn0035333,NA,,,,FBgn0035333,CG1317
CG13344,FBgn0033884,NA,,,,FBgn0033884,CG13344
CG13442,FBgn0034546,NA,,,,FBgn0034546,CG13442
CG13604,FBgn0039137,NA,,,,FBgn0039137,CG13604
CG13605,FBgn0039150,NA,,,,FBgn0039150,CG13605
CG13917,FBgn0035237,NA,,,,FBgn0035237,CG13917
CG13933,FBgn0035270,NA,,,,FBgn0035270,CG13933
CG14040,FBgn0031676,NA,,,,FBgn0031676,senju
CG14260,FBgn0039504,NA,,,,FBgn0039504,CG14260
CG14262,FBgn0039503,NA,,,,FBgn0039503,CG14262
CG14435,FBgn0029911,NA,,,,FBgn0029911,CG14435
CG14647,FBgn0037244,NA,,,,FBgn0037244,CG14647
CG14739,FBgn0037987,NA,,,,FBgn0037987,CG14739
CG14785,FBgn0027795,NA,,,,FBgn0027795,CG14785
CG14937,FBgn0032377,NA,,,,FBgn0032377,CG14937
CG1503,FBgn0031157,NA,,,,FBgn0031157,CG1503
CG15047,FBgn0030938,NA,,,,FBgn0030938,CG15047
CG15097,FBgn0034396,NA,,,,FBgn0034396,CG15097
CG15118,FBgn0034418,NA,,,,FBgn0034418,CG15118
CG15432,FBgn0031603,NA,,,,FBgn0031603,CG15432
CG15439,FBgn0031606,NA,,,,FBgn0031606,CG15439
CG15445,FBgn0031161,NA,,,,FBgn0031161,CG15445
CG15725,FBgn0030417,NA,,,,FBgn0030417,CG15725
