Trunk_amnioserosa	burlywood2
Amnioserosa_PS13-14	burlywood3
Trunk_dorsal_ectoderm_odd	olivedrab1
Trunk_dorsal_ectoderm_even	olivedrab2
Trunk_lateral_neuroectoderm	olivedrab3
Trunk_medial_neuroectoderm	olivedrab4
Midline_cells	magenta
Trunk_Mesoderm	plum3
Pole_cells	gray50
Dorsal_Ectoderm_PS13	forestgreen
Ectoderm_PS14	darkgreen
Hindgut	goldenrod3
Posterior_midgut	coral3
Mesoderm_PS13	orchid4
Posterior_Mesoderm	deeppink4
Head_ectoderm	lightskyblue1
Ectoderm_PS1-2	skyblue3
Anterior_midgut/mesoderm	pink1
