Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
5PtaseI,FBgn0259178,Non-protein Phosphatase,,,,FBgn0259178,5PtaseI
aay,FBgn0023129,Protein Phosphatase,,,,FBgn0023129,aay
Acph-1,FBgn0000032,Non-protein Phosphatase,,,,FBgn0000032,Acph-1
Acyp,FBgn0025115,Non-protein Phosphatase,,,,FBgn0025115,Acyp
Acyp2,FBgn0038363,Non-protein Phosphatase,,,,FBgn0038363,Acyp2
alph,FBgn0086361,Protein Phosphatase,,,,FBgn0086361,alph
angel,FBgn0016762,Non-protein Phosphatase,,,,FBgn0016762,angel
Apf,FBgn0051713,Non-protein Phosphatase,,,,FBgn0287788,Datp
Aph-4,FBgn0016123,Protein Phosphatase,,,,FBgn0016123,Alp4
Aps,FBgn0036111,Non-protein Phosphatase,,,,FBgn0036111,Aps
bor,FBgn0040237,Non-protein Phosphatase,,,,FBgn0287225,bor
CanA-14F,FBgn0267912,Protein Phosphatase,,,,FBgn0267912,CanA-14F
CanA1,FBgn0010015,Protein Phosphatase,,,,FBgn0010015,CanA1
CanB,FBgn0010014,Protein Phosphatase,,,,FBgn0010014,CanB
CanB2,FBgn0015614,Protein Phosphatase,,,,FBgn0015614,CanB2
cdc14,FBgn0031952,Protein Phosphatase,,,,FBgn0031952,cdc14
CG10089,FBgn0036369,Protein Phosphatase,,,,FBgn0036369,CG10089
CG10132,FBgn0032798,Non-protein Phosphatase,,,,FBgn0032798,CG10132
CG10352,FBgn0030348,Non-protein Phosphatase,,,,FBgn0030348,CG10352
CG10376,FBgn0032702,Protein Phosphatase,,,,FBgn0032702,CG10376
CG10417,FBgn0033021,Protein Phosphatase,,,,FBgn0033021,CG10417
CG10426,FBgn0036273,Non-protein Phosphatase,,,,FBgn0036273,INPP5E
CG10581,FBgn0037046,Non-protein Phosphatase,,,,FBgn0037046,CG10581
CG10592,FBgn0035619,Protein Phosphatase,,,,FBgn0035619,Alp10
CG10827,FBgn0038845,Protein Phosphatase,,,,FBgn0038845,Alp5
CG11052,FBgn0040524,Non-protein Phosphatase,,,,FBgn0040524,CG11052
CG11291,FBgn0034713,Non-protein Phosphatase,,,,FBgn0034713,CG11291
CG11425,FBgn0037167,Non-protein Phosphatase,,,,FBgn0037167,CG11425
CG11426,FBgn0037166,Non-protein Phosphatase,,,,FBgn0037166,CG11426
CG11437,FBgn0037165,Non-protein Phosphatase,,,,FBgn0037165,CG11437
CG11438,FBgn0037164,Non-protein Phosphatase,,,,FBgn0037164,CG11438
CG11597,FBgn0036212,Protein Phosphatase,,,,FBgn0036212,CG11597
CG11883,FBgn0033538,Non-protein Phosphatase,,,,FBgn0033538,CG11883
CG12034,FBgn0035421,Non-protein Phosphatase,,,,FBgn0035421,nSMase
CG12078,FBgn0035426,Protein Phosphatase,,,,FBgn0035426,CG12078
CG12091,FBgn0035228,Protein Phosphatase,,,,FBgn0035228,CG12091
CG12173,FBgn0037305,Non-protein Phosphatase,,,,FBgn0037305,CG12173
CG12237,FBgn0031048,Protein Phosphatase,,,,FBgn0031048,CG12237
CG12263,FBgn0034346,Non-protein Phosphatase,,,,FBgn0034346,PIG-O
CG12538,FBgn0038157,Non-protein Phosphatase,,,,FBgn0038157,CG12538
CG12746,FBgn0037341,Non-protein Phosphatase,,,,FBgn0037341,CG12746
CG13197,FBgn0062449,Protein Phosphatase,,,,FBgn0062449,CG13197
CG13311,FBgn0035929,Non-protein Phosphatase,,,,FBgn0035929,CG13311
CG13604,FBgn0039137,Non-protein Phosphatase,,,,FBgn0039137,CG13604
CG14022,FBgn0031700,Non-protein Phosphatase,,,,FBgn0031700,CG14022
CG14212,FBgn0031045,Protein Phosphatase,,,,FBgn0031045,CG14212
CG14297,FBgn0038655,Protein Phosphatase,,,,FBgn0038655,CG14297
CG14411,FBgn0030582,Protein Phosphatase,,,,FBgn0030582,CG14411
CG14903,FBgn0038446,Protein Phosphatase,,,,FBgn0038446,CG14903
CG15035,FBgn0029949,Protein Phosphatase,,,,FBgn0029949,CG15035
CG15385,FBgn0031397,Non-protein Phosphatase,,,,FBgn0031397,CG15385
CG15528,FBgn0039742,Protein Phosphatase,,,,FBgn0039742,CG15528
CG15739,FBgn0030347,Non-protein Phosphatase,,,,FBgn0030347,CG15739
CG15743,FBgn0030465,Non-protein Phosphatase,,,,FBgn0030465,CG15743
CG15771,FBgn0029801,Non-protein Phosphatase,,,,FBgn0029801,CG15771
CG15912,FBgn0029712,Non-protein Phosphatase,,,,FBgn0029712,CG15912
CG1637,FBgn0030245,Non-protein Phosphatase,,,,FBgn0030245,CG1637
CG16771,FBgn0032779,Protein Phosphatase,,,,FBgn0032779,Alp12
CG17026,FBgn0036550,Non-protein Phosphatase,,,,FBgn0036550,CG17026
CG17027,FBgn0036553,Non-protein Phosphatase,,,,FBgn0036553,CG17027
CG17028,FBgn0036552,Non-protein Phosphatase,,,,FBgn0036552,CG17028
CG17029,FBgn0036551,Non-protein Phosphatase,,,,FBgn0036551,CG17029
CG17294,FBgn0032032,Non-protein Phosphatase,,,,FBgn0032032,CG17294
