Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
aft,FBgn0026309,,,,Source: GO and domain annotation,FBgn0026309,aft
agt,FBgn0024912,,,,Source: GO and domain annotation,FBgn0024912,agt
Art1,FBgn0037834,,,,Source: GO and domain annotation,FBgn0037834,Art1
Art2,FBgn0031592,,,,Source: GO and domain annotation,FBgn0031592,Art2
Art3,FBgn0038306,,,,Source: GO and domain annotation,FBgn0038306,Art3
Art4,FBgn0037770,,,,Source: GO and domain annotation,FBgn0037770,Art4
Art6,FBgn0038189,,,,Source: GO and domain annotation,FBgn0038189,Art6
Art7,FBgn0034817,,,,Source: GO and domain annotation,FBgn0034817,Art7
Art8,FBgn0032329,,,,Source: GO and domain annotation,FBgn0032329,Art8
Art9,FBgn0038188,,,,Source: GO and domain annotation,FBgn0038188,Art9
ash1,FBgn0005386,,,,Source: GO and domain annotation,FBgn0005386,ash1
ash2,FBgn0000139,,,,Source: GO annotation,FBgn0000139,ash2
bin3,FBgn0263144,,,,Source: GO and domain annotation,FBgn0263144,bin3
Blimp-1,FBgn0035625,,,,Source: Literature,FBgn0035625,Blimp-1
bsf,FBgn0284256,,,,Source: domain annotation,FBgn0284256,bsf
Caf1-55,FBgn0263979,,,,Source: GO annotation,FBgn0263979,Caf1-55
CG10428,FBgn0032724,,,,Source: domain annotation,FBgn0032724,CG10428
CG10527,FBgn0034583,,,,Source: GO annotation,FBgn0034583,CG10527
CG10584,FBgn0037045,,,,Source: domain annotation,FBgn0037045,CG10584
CG10621,FBgn0032726,,,,Source: domain annotation,FBgn0032726,CG10621
CG10623,FBgn0032727,,,,Source: GO and domain annotation,FBgn0032727,CG10623
CG1074,FBgn0037250,,,,Source: GO and domain annotation,FBgn0037250,CG1074
CG10903,FBgn0037543,,,,Source: GO and domain annotation,FBgn0037543,CG10903
CG10909,FBgn0038090,,,,Source: GO annotation,FBgn0038090,CG10909
CG10931,FBgn0034274,,,,Source: GO annotation,FBgn0034274,CG10931
CG10947,FBgn0032857,,,,Source: GO and domain annotation,FBgn0032857,CG10947
CG11109,FBgn0037200,,,,Source: GO and domain annotation,FBgn0037200,CG11109
CG11342,FBgn0035537,,,,Source: GO and domain annotation,FBgn0035537,CG11342
CG11447,FBgn0038737,,,,Source: GO annotation,FBgn0038737,CG11447
CG11596,FBgn0023522,,,,Source: GO annotation,FBgn0023522,CG11596
CG11837,FBgn0039627,,,,Source: GO annotation,FBgn0039627,CG11837
CG12128,FBgn0033473,,,,Source: domain annotation,FBgn0033473,CG12128
CG1239,FBgn0037368,,,,Source: GO and domain annotation,FBgn0037368,CG1239
CG12863,FBgn0033948,,,,Source: GO and domain annotation,FBgn0033948,CG12863
CG13126,FBgn0032168,,,,Source: GO annotation,FBgn0032168,CG13126
CG13287,FBgn0035643,,,,Source: Literature,FBgn0035643,CG13287
CG13296,FBgn0035687,,,,Source: Literature,FBgn0035687,Prdm13
CG14100,FBgn0036889,,,,Source: GO and domain annotation,FBgn0036889,CG14100
CG14282,FBgn0038685,,,,Source: GO annotation,FBgn0038685,CG14282
CG14544,FBgn0039407,,,,Source: GO and domain annotation,FBgn0039407,CG14544
CG14618,FBgn0031189,,,,Source: GO and domain annotation,FBgn0031189,CG14618
CG14683,FBgn0037822,,,,Source: GO annotation,FBgn0037822,CG14683
CG14906,FBgn0015351,,,,Source: GO annotation,FBgn0015351,CG14906
CG15373,FBgn0030889,,,,Source: domain annotation,FBgn0030889,CG15373
CG1550,FBgn0033225,,,,Source: Literature,FBgn0033225,TTLL12
CG17219,FBgn0031494,,,,Source: GO and domain annotation,FBgn0031494,CG17219
CG17726,FBgn0037880,,,,Source: domain annotation,FBgn0037880,CG17726
CG17807,FBgn0034748,,,,Source: GO and domain annotation,FBgn0034748,CG17807
CG18048,FBgn0037435,,,,Source: GO and domain annotation,FBgn0037435,CG18048
CG18596,FBgn0038953,,,,Source: GO annotation,FBgn0038953,CG18596
CG18661,FBgn0040964,,,,Source: domain annotation (interpro),FBgn0040964,CG18661
CG2453,FBgn0030460,,,,Source: GO and domain annotation,FBgn0030460,Coq5
